match_id,season_id_x,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city
335982,2008,6,1,6.0,win,140.0,,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082591,2017,2,1,2.0,win,35.0,,1.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1082593,2017,5,6,6.0,win,,10.0,6.0,field,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot
1082592,2017,3,4,4.0,win,,7.0,4.0,field,"MCA Stadium, Pune",Pune
1082594,2017,4,494,494.0,win,,6.0,494.0,field,"Holkar Cricket Stadium, Indore",Indore
1082601,2017,494,6,6.0,win,,8.0,6.0,field,"Eden Gardens, Kolkata",Kolkata
1082595,2017,1,252,1.0,win,15.0,,1.0,bat,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1082596,2017,5,2,2.0,win,,9.0,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1082597,2017,6,3,3.0,win,,4.0,3.0,field,"Wankhede Stadium, Mumbai",Mumbai
1082598,2017,1,494,494.0,win,,8.0,1.0,bat,"Holkar Cricket Stadium, Indore",Indore
1082599,2017,252,4,252.0,win,97.0,,4.0,field,"MCA Stadium, Pune",Pune
1082600,2017,2,3,3.0,win,,4.0,3.0,field,"Wankhede Stadium, Mumbai",Mumbai
1082602,2017,1,3,3.0,win,,4.0,3.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082603,2017,4,5,5.0,win,,7.0,5.0,field,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot
1082604,2017,6,2,6.0,win,17.0,,2.0,field,"Eden Gardens, Kolkata",Kolkata
1082605,2017,252,494,252.0,win,51.0,,252.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi
1082608,2017,252,6,6.0,win,,4.0,252.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi
1082606,2017,5,3,3.0,win,,6.0,3.0,field,"Wankhede Stadium, Mumbai",Mumbai
1082607,2017,4,1,4.0,win,27.0,,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082609,2017,2,494,2.0,win,5.0,,494.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1082610,2017,1,5,1.0,win,21.0,,5.0,field,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot
1082612,2017,494,3,3.0,win,,8.0,3.0,field,"Holkar Cricket Stadium, Indore",Indore
1082611,2017,2,252,2.0,win,15.0,,2.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1082613,2017,5,6,5.0,win,,4.0,5.0,field,"Eden Gardens, Kolkata",Kolkata
1082614,2017,252,3,3.0,win,14.0,,252.0,field,"Wankhede Stadium, Mumbai",Mumbai
1082615,2017,2,4,4.0,win,,6.0,4.0,field,"MCA Stadium, Pune",Pune
1082616,2017,494,5,494.0,win,26.0,,5.0,field,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot
1082617,2017,6,1,6.0,win,82.0,,1.0,field,"Eden Gardens, Kolkata",Kolkata
1082618,2017,4,3,4.0,win,3.0,,3.0,field,"Wankhede Stadium, Mumbai",Mumbai
1082620,2017,4,6,6.0,win,,7.0,6.0,field,"MCA Stadium, Pune",Pune
1082621,2017,1,5,5.0,win,,7.0,5.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082622,2017,252,6,6.0,win,,7.0,6.0,field,"Eden Gardens, Kolkata",Kolkata
1082623,2017,2,494,2.0,win,26.0,,494.0,field,"PCA Stadium, Mohali",Chandigarh
1082624,2017,4,1,4.0,win,61.0,,1.0,field,"MCA Stadium, Pune",Pune
1082625,2017,3,5,3.0,tie,,,5.0,bat,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot
1082626,2017,252,494,494.0,win,,10.0,494.0,field,"PCA Stadium, Mohali",Chandigarh
1082627,2017,2,6,2.0,win,48.0,,6.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1082628,2017,1,3,3.0,win,,5.0,1.0,bat,"Wankhede Stadium, Mumbai",Mumbai
1082629,2017,5,4,4.0,win,,5.0,4.0,field,"MCA Stadium, Pune",Pune
1082630,2017,2,252,252.0,win,,6.0,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi
1082631,2017,6,4,4.0,win,,4.0,4.0,field,"Eden Gardens, Kolkata",Kolkata
1082632,2017,5,252,252.0,win,,7.0,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi
1082633,2017,494,1,494.0,win,19.0,,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082639,2017,6,494,494.0,win,14.0,,6.0,field,"PCA Stadium, Mohali",Chandigarh
1082634,2017,4,2,4.0,win,12.0,,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1082635,2017,3,252,3.0,win,146.0,,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi
1082636,2017,1,6,6.0,win,,6.0,6.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082637,2017,494,5,5.0,win,,6.0,5.0,field,"PCA Stadium, Mohali",Chandigarh
1082638,2017,3,2,2.0,win,,7.0,3.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1082642,2017,4,252,252.0,win,7.0,,252.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi
1082641,2017,494,3,494.0,win,7.0,,3.0,field,"Wankhede Stadium, Mumbai",Mumbai
1082644,2017,3,6,3.0,win,9.0,,6.0,field,"Eden Gardens, Kolkata",Kolkata
1082645,2017,494,4,4.0,win,,9.0,4.0,field,"MCA Stadium, Pune",Pune
1082646,2017,1,252,1.0,win,10.0,,1.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi
1082649,2017,3,6,3.0,win,,6.0,3.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082647,2017,4,3,4.0,win,20.0,,3.0,field,"Wankhede Stadium, Mumbai",Mumbai
1082648,2017,2,6,6.0,win,,7.0,6.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore
1082650,2017,3,4,3.0,win,1.0,,3.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1136561,2018,129,3,129.0,win,,1.0,129.0,field,"Wankhede Stadium, Mumbai",Mumbai
1136562,2018,252,494,494.0,win,,6.0,494.0,field,"PCA Stadium, Mohali",Chandigarh
1136563,2018,1,6,6.0,win,,4.0,6.0,field,"Eden Gardens, Kolkata",Kolkata
1136564,2018,134,2,2.0,win,,9.0,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1136565,2018,6,129,129.0,win,,5.0,129.0,field,"MA Chidambaram Stadium, Chennai",Chennai
1136566,2018,134,252,134.0,win,10.0,,252.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur
1136567,2018,3,2,2.0,win,,1.0,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1136568,2018,494,1,1.0,win,,4.0,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1136569,2018,3,252,252.0,win,,7.0,252.0,field,"Wankhede Stadium, Mumbai",Mumbai
1136570,2018,2,6,2.0,win,,5.0,2.0,field,"Eden Gardens, Kolkata",Kolkata
