match_id,season_id,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city,venue_region
335982,2008,6,1,6,win,140.0,,1,field,M Chinnaswamy Stadium,Bangalore,India
1082591,2017,2,1,2,win,35.0,,1,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082593,2017,5,6,6,win,,10.0,6,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082592,2017,3,4,4,win,,7.0,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082594,2017,4,494,494,win,,6.0,494,field,Holkar Cricket Stadium,Indore,India
1082601,2017,494,6,6,win,,8.0,6,field,Eden Gardens,Kolkata,India
1082595,2017,1,252,1,win,15.0,,1,bat,M.Chinnaswamy Stadium,Bengaluru,India
1082596,2017,5,2,2,win,,9.0,2,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082597,2017,6,3,3,win,,4.0,3,field,Wankhede Stadium,Mumbai,India
1082598,2017,1,494,494,win,,8.0,1,bat,Holkar Cricket Stadium,Indore,India
1082599,2017,252,4,252,win,97.0,,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082600,2017,2,3,3,win,,4.0,3,field,Wankhede Stadium,Mumbai,India
1082602,2017,1,3,3,win,,4.0,3,field,M Chinnaswamy Stadium,Bangalore,India
1082603,2017,4,5,5,win,,7.0,5,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082604,2017,6,2,6,win,17.0,,2,field,Eden Gardens,Kolkata,India
1082605,2017,252,494,252,win,51.0,,252,bat,Feroz Shah Kotla,Delhi,India
1082608,2017,252,6,6,win,,4.0,252,bat,Feroz Shah Kotla,Delhi,India
1082606,2017,5,3,3,win,,6.0,3,field,Wankhede Stadium,Mumbai,India
1082607,2017,4,1,4,win,27.0,,1,field,M Chinnaswamy Stadium,Bangalore,India
1082609,2017,2,494,2,win,5.0,,494,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082610,2017,1,5,1,win,21.0,,5,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082612,2017,494,3,3,win,,8.0,3,field,Holkar Cricket Stadium,Indore,India
1082611,2017,2,252,2,win,15.0,,2,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082613,2017,5,6,5,win,,4.0,5,field,Eden Gardens,Kolkata,India
1082614,2017,252,3,3,win,14.0,,252,field,Wankhede Stadium,Mumbai,India
1082615,2017,2,4,4,win,,6.0,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082616,2017,494,5,494,win,26.0,,5,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082617,2017,6,1,6,win,82.0,,1,field,Eden Gardens,Kolkata,India
1082618,2017,4,3,4,win,3.0,,3,field,Wankhede Stadium,Mumbai,India
1082620,2017,4,6,6,win,,7.0,6,field,Maharashtra Cricket Association Stadium,Pune,India
1082621,2017,1,5,5,win,,7.0,5,field,M Chinnaswamy Stadium,Bangalore,India
