season_id_x,phase,balls,total_runs
2008,Death,2828,4506
2008,Middle,6277,8073
2008,Powerplay,4384,5358
2009,Death,3073,4489
2009,Middle,6201,6898
2009,Powerplay,4332,4966
2010,Death,3301,5067
2010,Middle,6641,8115
2010,Powerplay,4556,5701
2011,Death,3715,5413
2011,Middle,7856,9477
2011,Powerplay,5442,6264
2012,Death,4090,6254
2012,Middle,8157,9787
2012,Powerplay,5520,6412
2013,Death,4193,6446
2013,Middle,8292,9773
2013,Powerplay,5692,6383
2014,Death,3257,5222
2014,Middle,6544,8262
2014,Powerplay,4499,5447
2015,Death,3099,5091
2015,Middle,6179,7834
2015,Powerplay,4374,5428
2016,Death,3104,5012
2016,Middle,6522,8312
2016,Powerplay,4470,5538
2017,Death,3077,4729
2017,Middle,6371,8145
2017,Powerplay,4414,5912
2018,Death,3319,5320
2018,Middle,6517,8518
2018,Powerplay,4450,6063
2019,Death,3342,5378
2019,Middle,6548,8201
2019,Powerplay,4422,5855
2020,Death,3381,5509
2020,Middle,6646,8289
2020,Powerplay,4532,5618
2021,Death,3352,4955
2021,Middle,6609,8109
2021,Powerplay,4464,5573
2022,Death,4180,6797
2022,Middle,8201,10651
2022,Powerplay,5531,6947
2023,Death,4228,6912
2023,Middle,8135,11089
2023,Powerplay,5500,7687
2024,Death,3924,6784
2024,Middle,7856,11122
2024,Powerplay,5323,8065
2025,Death,3825,6539
2025,Middle,7996,11594
2025,Powerplay,5464,8394
