venue,city,matches,toss_winner_win_pct
"Wankhede Stadium, Mumbai",Mumbai,125,52.0
"Eden Gardens, Kolkata",Kolkata,100,51.0
"Arun Jaitley Stadium, New, Delhi",Delhi,97,51.55
"MA Chidambaram Stadium, Chennai",Chennai,91,50.55
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,83,39.76
"M Chinnaswamy Stadium, Bengaluru",Bangalore,65,53.85
"Sawai Mansingh Stadium, Jaipur",Jaipur,64,56.25
"PCA Stadium, Mohali",Chandigarh,61,47.54
"MCA Stadium, Pune",Pune,51,54.9
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,45,46.67
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,34,52.94
"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai,28,53.57
"Brabourne Stadium, Mumbai",Mumbai,27,51.85
"Ekana Cricket Stadium, Lucknow",Lucknow,22,68.18
ACA-VDCA Cricket Stadium - Vizag,Visakhapatnam,17,52.94
"HPCA Stadium, Dharamshala",Dharamsala,15,40.0
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,10,40.0
"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,9,55.56
"Holkar Cricket Stadium, Indore",Indore,9,77.78
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Mohali,9,55.56
"Barabati Stadium, Cuttack",Cuttack,7,71.43
"JSCA International Stadium Complex, Ranchi",Ranchi,7,57.14
"Shaheed Veer Narayan Singh International Stadium, New Raipur",Raipur,6,50.0
"Barsapara Cricket Stadium, Guwahati",Guwahati,5,20.0
"Nehru Stadium, Goa",Kochi,5,40.0
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,3,33.33
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",New Chandigarh,2,100.0
