venue_region,season,venue,matches,chasing_matches,defending_matches,other_matches,chasing_win_pct,defending_win_pct,other_result_pct,chase_defend_delta_pct
India,2008,Eden Gardens,7,4,3,0,57.1,42.9,0.0,14.3
India,2008,M Chinnaswamy Stadium,7,4,3,0,57.1,42.9,0.0,14.3
India,2008,"MA Chidambaram Stadium, Chepauk",7,3,4,0,42.9,57.1,0.0,-14.3
India,2008,"Punjab Cricket Association Stadium, Mohali",7,3,4,0,42.9,57.1,0.0,-14.3
India,2008,"Rajiv Gandhi International Stadium, Uppal",7,5,2,0,71.4,28.6,0.0,42.9
India,2008,Sawai Mansingh Stadium,7,5,2,0,71.4,28.6,0.0,42.9
India,2008,Feroz Shah Kotla,6,3,3,0,50.0,50.0,0.0,0.0
India,2008,Wankhede Stadium,6,4,2,0,66.7,33.3,0.0,33.3
India,2008,Dr DY Patil Sports Academy,4,3,1,0,75.0,25.0,0.0,50.0
India,2010,Eden Gardens,7,4,3,0,57.1,42.9,0.0,14.3
India,2010,Feroz Shah Kotla,7,2,5,0,28.6,71.4,0.0,-42.9
India,2010,M Chinnaswamy Stadium,7,4,3,0,57.1,42.9,0.0,14.3
India,2010,"MA Chidambaram Stadium, Chepauk",7,3,3,1,42.9,42.9,14.3,0.0
India,2010,Brabourne Stadium,6,3,3,0,50.0,50.0,0.0,0.0
India,2010,Dr DY Patil Sports Academy,6,1,5,0,16.7,83.3,0.0,-66.7
India,2010,"Punjab Cricket Association Stadium, Mohali",5,3,2,0,60.0,40.0,0.0,20.0
India,2010,"Sardar Patel Stadium, Motera",4,2,2,0,50.0,50.0,0.0,0.0
India,2010,Sawai Mansingh Stadium,3,2,1,0,66.7,33.3,0.0,33.3
India,2010,"Vidarbha Cricket Association Stadium, Jamtha",3,1,2,0,33.3,66.7,0.0,-33.3
India,2010,Barabati Stadium,2,0,2,0,0.0,100.0,0.0,-100.0
India,2010,Himachal Pradesh Cricket Association Stadium,2,2,0,0,100.0,0.0,0.0,100.0
India,2010,"Brabourne Stadium, Mumbai",1,1,0,0,100.0,0.0,0.0,100.0
India,2011,"MA Chidambaram Stadium, Chepauk",9,1,8,0,11.1,88.9,0.0,-77.8
India,2011,Wankhede Stadium,9,5,4,0,55.6,44.4,0.0,11.1
India,2011,Dr DY Patil Sports Academy,7,6,1,0,85.7,14.3,0.0,71.4
India,2011,Eden Gardens,7,4,3,0,57.1,42.9,0.0,14.3
India,2011,Feroz Shah Kotla,7,3,3,1,42.9,42.9,14.3,0.0
India,2011,"Rajiv Gandhi International Stadium, Uppal",7,4,3,0,57.1,42.9,0.0,14.3
India,2011,Sawai Mansingh Stadium,7,6,1,0,85.7,14.3,0.0,71.4
India,2011,M Chinnaswamy Stadium,6,4,2,0,66.7,33.3,0.0,33.3
India,2011,Nehru Stadium,5,2,3,0,40.0,60.0,0.0,-20.0
India,2011,"Punjab Cricket Association Stadium, Mohali",4,2,2,0,50.0,50.0,0.0,0.0
India,2011,Himachal Pradesh Cricket Association Stadium,3,0,3,0,0.0,100.0,0.0,-100.0
India,2011,Holkar Cricket Stadium,2,2,0,0,100.0,0.0,0.0,100.0
India,2012,"MA Chidambaram Stadium, Chepauk",10,6,4,0,60.0,40.0,0.0,20.0
India,2012,Subrata Roy Sahara Stadium,9,3,6,0,33.3,66.7,0.0,-33.3
