venue_region,season,venue,matches,innings,avg_1st_innings_runs,avg_2nd_innings_runs,avg_total_runs_per_match,avg_wkts_per_match,avg_run_rate,avg_balls_per_innings
India,2008,Eden Gardens,7,14,139.9,123.4,263.3,11.86,7.07,111.8
India,2008,M Chinnaswamy Stadium,7,14,156.1,135.6,291.7,12.71,7.49,116.9
India,2008,"MA Chidambaram Stadium, Chepauk",7,14,169.4,164.3,333.7,11.57,8.17,122.6
India,2008,"Punjab Cricket Association Stadium, Mohali",7,14,185.3,165.1,350.4,11.57,8.65,121.6
India,2008,"Rajiv Gandhi International Stadium, Uppal",7,14,173.4,168.6,342.0,11.86,8.52,120.4
India,2008,Sawai Mansingh Stadium,7,14,158.4,143.9,302.3,12.43,7.59,119.4
India,2008,Feroz Shah Kotla,6,12,165.8,159.3,325.2,10.5,8.8,110.8
India,2008,Wankhede Stadium,6,12,146.8,130.5,277.3,12.17,7.74,107.5
India,2008,Dr DY Patil Sports Academy,4,8,145.5,139.0,284.5,12.5,7.65,111.5
India,2010,Eden Gardens,7,14,160.9,148.7,309.6,10.0,7.73,120.1
India,2010,Feroz Shah Kotla,7,14,172.6,137.3,309.9,13.86,7.71,120.6
India,2010,M Chinnaswamy Stadium,7,14,169.1,154.3,323.4,10.57,8.11,119.7
India,2010,"MA Chidambaram Stadium, Chepauk",7,16,164.1,153.9,320.7,12.14,7.87,107.0
India,2010,Brabourne Stadium,6,12,173.7,157.0,330.7,12.33,8.1,122.5
India,2010,Dr DY Patil Sports Academy,6,12,151.5,127.7,279.2,14.0,7.0,119.7
India,2010,"Punjab Cricket Association Stadium, Mohali",5,10,168.6,156.8,325.4,12.4,7.94,122.9
India,2010,"Sardar Patel Stadium, Motera",4,8,158.5,146.8,305.2,11.75,7.75,118.1
India,2010,Sawai Mansingh Stadium,3,6,152.3,142.0,294.3,10.33,7.67,115.2
India,2010,"Vidarbha Cricket Association Stadium, Jamtha",3,6,149.3,144.7,294.0,16.0,7.13,123.7
India,2010,Barabati Stadium,2,4,170.5,162.5,333.0,15.5,8.24,121.2
India,2010,Himachal Pradesh Cricket Association Stadium,2,4,183.0,186.5,369.5,7.5,8.99,123.2
India,2010,"Brabourne Stadium, Mumbai",1,2,180.0,181.0,361.0,7.0,8.66,125.0
India,2011,"MA Chidambaram Stadium, Chepauk",9,18,167.6,145.9,313.4,11.56,7.66,122.8
India,2011,Wankhede Stadium,9,18,154.6,147.8,302.3,10.78,7.53,120.4
India,2011,Dr DY Patil Sports Academy,7,14,143.1,142.1,285.3,11.71,7.2,118.9
India,2011,Eden Gardens,7,14,136.4,128.4,264.9,10.29,7.01,113.3
India,2011,Feroz Shah Kotla,7,13,142.6,147.7,269.1,10.57,7.53,115.5
India,2011,"Rajiv Gandhi International Stadium, Uppal",7,14,161.3,149.9,311.1,11.29,7.7,121.2
India,2011,Sawai Mansingh Stadium,7,14,142.6,135.1,277.7,9.86,7.12,117.1
India,2011,M Chinnaswamy Stadium,6,12,144.7,130.0,274.7,10.0,7.37,111.8
India,2011,Nehru Stadium,5,10,146.8,125.8,272.6,12.4,7.08,115.5
India,2011,"Punjab Cricket Association Stadium, Mohali",4,8,166.2,136.8,303.0,13.25,7.9,115.0
India,2011,Himachal Pradesh Cricket Association Stadium,3,6,200.0,126.0,326.0,12.67,8.13,120.3
India,2011,Holkar Cricket Stadium,2,4,137.5,139.5,277.0,11.5,8.15,102.0
India,2012,"MA Chidambaram Stadium, Chepauk",10,20,160.8,150.3,311.1,11.1,7.74,120.6
India,2012,Subrata Roy Sahara Stadium,9,18,151.1,137.3,288.4,10.78,7.19,120.3
India,2012,Feroz Shah Kotla,8,16,165.2,156.8,322.0,11.5,8.04,120.2
India,2012,M Chinnaswamy Stadium,8,16,174.5,156.5,331.0,12.12,8.06,123.1
India,2012,Sawai Mansingh Stadium,8,16,167.4,150.1,317.5,10.75,7.82,121.8
India,2012,Wankhede Stadium,8,16,141.9,131.6,273.5,14.0,6.88,119.2
India,2012,Eden Gardens,7,14,148.9,138.6,287.4,10.86,7.45,115.7
India,2012,"Punjab Cricket Association Stadium, Mohali",6,12,156.2,151.3,307.5,11.0,7.69,120.0
India,2012,"Rajiv Gandhi International Stadium, Uppal",4,8,153.8,147.2,301.0,11.75,7.52,120.1
India,2012,Barabati Stadium,2,4,156.0,150.0,306.0,10.5,7.52,122.0
India,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,4,165.5,130.5,296.0,15.0,7.46,119.0
India,2012,Himachal Pradesh Cricket Association Stadium,2,4,130.5,134.0,264.5,11.5,6.93,114.5
India,2013,Eden Gardens,8,16,147.5,140.5,288.0,12.38,7.17,120.6
India,2013,Feroz Shah Kotla,8,16,154.5,137.8,292.2,11.75,7.37,119.0
India,2013,M Chinnaswamy Stadium,8,18,160.4,142.5,306.1,10.75,8.17,99.9
India,2013,"MA Chidambaram Stadium, Chepauk",8,16,171.2,159.8,331.0,11.25,8.02,123.9
India,2013,"Rajiv Gandhi International Stadium, Uppal",8,18,134.6,120.4,259.4,13.38,6.52,106.1
India,2013,Sawai Mansingh Stadium,8,16,154.4,142.9,297.2,11.12,7.45,119.6
India,2013,Wankhede Stadium,8,16,176.6,141.6,318.2,13.12,7.85,121.6
India,2013,Subrata Roy Sahara Stadium,7,14,147.3,128.7,276.0,12.29,6.98,118.6
India,2013,"Punjab Cricket Association Stadium, Mohali",6,12,160.8,156.5,317.3,11.0,7.93,120.0
India,2013,Himachal Pradesh Cricket Association Stadium,2,4,177.0,148.5,325.5,14.0,8.04,121.5
India,2013,JSCA International Stadium Complex,2,4,142.5,139.5,282.0,12.5,6.98,121.2
India,2013,Shaheed Veer Narayan Singh International Stadium,2,4,150.0,143.0,293.0,9.5,7.26,121.0
India,2013,Maharashtra Cricket Association Stadium,1,2,119.0,108.0,227.0,18.0,5.7,119.5
India,2014,M Chinnaswamy Stadium,6,12,180.3,174.2,354.5,11.5,8.66,122.8
India,2014,Wankhede Stadium,6,12,183.3,175.5,358.8,11.83,8.87,121.3
India,2014,Feroz Shah Kotla,5,10,159.4,141.4,300.8,8.8,8.09,111.6
India,2014,Eden Gardens,4,8,168.0,154.2,322.2,11.0,8.25,117.2
India,2014,JSCA International Stadium Complex,4,8,154.8,148.5,303.2,10.25,7.75,117.4
India,2014,"Rajiv Gandhi International Stadium, Uppal",4,8,166.0,169.5,335.5,8.75,8.31,121.1
India,2014,"Sardar Patel Stadium, Motera",4,8,170.8,138.5,309.2,14.25,7.45,124.5
India,2014,Barabati Stadium,3,6,173.7,159.7,333.3,9.33,8.31,120.3
India,2014,"Punjab Cricket Association Stadium, Mohali",3,6,150.0,147.0,297.0,12.0,7.75,115.0
India,2014,Brabourne Stadium,1,2,173.0,176.0,349.0,11.0,8.8,119.0
India,2015,Wankhede Stadium,8,16,181.1,167.6,348.8,12.12,8.44,124.0
India,2015,Eden Gardens,7,14,176.1,164.7,340.9,12.43,8.39,121.9
India,2015,M Chinnaswamy Stadium,7,13,182.9,120.3,286.0,10.57,8.96,103.1
India,2015,"MA Chidambaram Stadium, Chepauk",7,14,164.0,138.3,302.3,13.57,7.35,123.4
India,2015,Feroz Shah Kotla,5,10,146.6,140.8,287.4,10.8,7.58,113.8
India,2015,Maharashtra Cricket Association Stadium,4,8,165.5,143.2,308.8,14.0,7.55,122.6
India,2015,"Punjab Cricket Association Stadium, Mohali",4,8,139.5,124.2,263.8,11.75,7.49,105.6
India,2015,"Rajiv Gandhi International Stadium, Uppal",4,8,156.2,136.8,293.0,10.75,8.64,101.8
India,2015,"Sardar Patel Stadium, Motera",4,10,160.2,161.8,327.2,10.25,8.25,95.2
India,2015,Brabourne Stadium,3,6,196.3,186.3,382.7,11.67,9.05,126.8
India,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3,6,156.7,131.7,288.3,9.67,7.5,115.3
India,2015,Shaheed Veer Narayan Singh International Stadium,2,4,141.0,138.5,279.5,9.0,7.23,116.0
