venue_region,season,venue,matches,innings,avg_1st_innings_runs,avg_2nd_innings_runs,avg_total_runs_per_match,avg_wkts_per_match,avg_run_rate,avg_balls_per_innings
Overseas,2009,Kingsmead,15,30,152.0,138.2,290.2,13.4,7.17,121.4
Overseas,2009,SuperSport Park,12,24,154.8,149.6,304.4,11.08,7.65,119.4
Overseas,2009,New Wanderers Stadium,8,16,144.0,142.5,286.5,11.5,7.09,121.2
Overseas,2009,Newlands,7,16,139.4,112.6,256.7,13.29,7.01,96.2
Overseas,2009,St George's Park,7,14,159.0,131.4,290.4,11.0,7.27,119.8
Overseas,2009,Buffalo Park,3,6,147.3,119.0,266.3,12.67,6.7,119.2
Overseas,2009,De Beers Diamond Oval,3,6,158.0,141.0,299.0,13.0,7.41,121.0
Overseas,2009,OUTsurance Oval,2,4,135.0,129.5,264.5,12.5,6.35,125.0
Overseas,2014,Dubai International Cricket Stadium,7,14,148.9,146.0,294.9,11.29,7.28,121.4
Overseas,2014,Sheikh Zayed Stadium,7,16,147.4,125.6,276.1,13.71,7.14,101.5
Overseas,2014,Sharjah Cricket Stadium,6,12,158.2,146.7,304.8,10.5,7.63,119.9
Overseas,2020,Dubai International Cricket Stadium,26,60,171.5,149.2,323.0,12.04,7.9,106.3
Overseas,2020,Sheikh Zayed Stadium,22,46,162.5,152.0,314.7,10.59,7.84,115.2
Overseas,2020,Sharjah Cricket Stadium,12,24,177.9,163.3,341.2,10.92,8.54,119.9
Overseas,2021,Dubai International Cricket Stadium,13,26,156.2,150.6,306.8,11.77,7.6,121.1
Overseas,2021,Sharjah Cricket Stadium,10,20,136.9,129.0,265.9,12.8,6.77,117.8
Overseas,2021,"Zayed Cricket Stadium, Abu Dhabi",8,16,159.0,150.4,309.4,11.62,7.92,117.1
Overseas,All Time,Dubai International Cricket Stadium,46,100,163.7,149.1,314.1,11.85,7.74,112.3
Overseas,All Time,Sheikh Zayed Stadium,29,62,158.9,145.6,305.4,11.34,7.66,111.7
Overseas,All Time,Sharjah Cricket Stadium,28,56,159.0,147.5,306.5,11.5,7.71,119.2
Overseas,All Time,Kingsmead,15,30,152.0,138.2,290.2,13.4,7.17,121.4
Overseas,All Time,SuperSport Park,12,24,154.8,149.6,304.4,11.08,7.65,119.4
Overseas,All Time,New Wanderers Stadium,8,16,144.0,142.5,286.5,11.5,7.09,121.2
Overseas,All Time,"Zayed Cricket Stadium, Abu Dhabi",8,16,159.0,150.4,309.4,11.62,7.92,117.1
Overseas,All Time,Newlands,7,16,139.4,112.6,256.7,13.29,7.01,96.2
Overseas,All Time,St George's Park,7,14,159.0,131.4,290.4,11.0,7.27,119.8
Overseas,All Time,Buffalo Park,3,6,147.3,119.0,266.3,12.67,6.7,119.2
Overseas,All Time,De Beers Diamond Oval,3,6,158.0,141.0,299.0,13.0,7.41,121.0
Overseas,All Time,OUTsurance Oval,2,4,135.0,129.5,264.5,12.5,6.35,125.0
