venue_region,season,venue,matches,toss_win_match_win_pct,toss_win_bat_first_pct,toss_win_field_first_pct,toss_decision_unknown_pct
India,2008,Eden Gardens,7,42.9,85.7,14.3,0.0
India,2008,M Chinnaswamy Stadium,7,71.4,14.3,85.7,0.0
India,2008,"MA Chidambaram Stadium, Chepauk",7,42.9,57.1,42.9,0.0
India,2008,"Punjab Cricket Association Stadium, Mohali",7,42.9,57.1,42.9,0.0
India,2008,"Rajiv Gandhi International Stadium, Uppal",7,42.9,57.1,42.9,0.0
India,2008,Sawai Mansingh Stadium,7,57.1,42.9,57.1,0.0
India,2008,Feroz Shah Kotla,6,33.3,33.3,66.7,0.0
India,2008,Wankhede Stadium,6,33.3,33.3,66.7,0.0
India,2008,Dr DY Patil Sports Academy,4,75.0,0.0,100.0,0.0
India,2010,Eden Gardens,7,57.1,85.7,14.3,0.0
India,2010,Feroz Shah Kotla,7,57.1,85.7,14.3,0.0
India,2010,M Chinnaswamy Stadium,7,42.9,14.3,85.7,0.0
India,2010,"MA Chidambaram Stadium, Chepauk",7,42.9,85.7,14.3,0.0
India,2010,Brabourne Stadium,6,66.7,83.3,16.7,0.0
India,2010,Dr DY Patil Sports Academy,6,50.0,66.7,33.3,0.0
India,2010,"Punjab Cricket Association Stadium, Mohali",5,40.0,60.0,40.0,0.0
India,2010,"Sardar Patel Stadium, Motera",4,75.0,75.0,25.0,0.0
India,2010,Sawai Mansingh Stadium,3,0.0,66.7,33.3,0.0
India,2010,"Vidarbha Cricket Association Stadium, Jamtha",3,33.3,66.7,33.3,0.0
India,2010,Barabati Stadium,2,50.0,50.0,50.0,0.0
India,2010,Himachal Pradesh Cricket Association Stadium,2,100.0,0.0,100.0,0.0
India,2010,"Brabourne Stadium, Mumbai",1,100.0,0.0,100.0,0.0
India,2011,"MA Chidambaram Stadium, Chepauk",9,66.7,77.8,22.2,0.0
India,2011,Wankhede Stadium,9,44.4,33.3,66.7,0.0
India,2011,Dr DY Patil Sports Academy,7,42.9,42.9,57.1,0.0
India,2011,Eden Gardens,7,71.4,28.6,71.4,0.0
India,2011,Feroz Shah Kotla,7,42.9,42.9,57.1,0.0
India,2011,"Rajiv Gandhi International Stadium, Uppal",7,42.9,14.3,85.7,0.0
India,2011,Sawai Mansingh Stadium,7,71.4,14.3,85.7,0.0
India,2011,M Chinnaswamy Stadium,6,50.0,16.7,83.3,0.0
India,2011,Nehru Stadium,5,40.0,40.0,60.0,0.0
India,2011,"Punjab Cricket Association Stadium, Mohali",4,25.0,25.0,75.0,0.0
India,2011,Himachal Pradesh Cricket Association Stadium,3,33.3,33.3,66.7,0.0
India,2011,Holkar Cricket Stadium,2,100.0,0.0,100.0,0.0
India,2012,"MA Chidambaram Stadium, Chepauk",10,40.0,60.0,40.0,0.0
India,2012,Subrata Roy Sahara Stadium,9,55.6,88.9,11.1,0.0
India,2012,Feroz Shah Kotla,8,25.0,50.0,50.0,0.0
India,2012,M Chinnaswamy Stadium,8,50.0,25.0,75.0,0.0
India,2012,Sawai Mansingh Stadium,8,25.0,50.0,50.0,0.0
India,2012,Wankhede Stadium,8,50.0,12.5,87.5,0.0
India,2012,Eden Gardens,7,71.4,57.1,42.9,0.0
India,2012,"Punjab Cricket Association Stadium, Mohali",6,50.0,66.7,33.3,0.0
India,2012,"Rajiv Gandhi International Stadium, Uppal",4,0.0,50.0,50.0,0.0
India,2012,Barabati Stadium,2,100.0,50.0,50.0,0.0
India,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0.0,50.0,50.0,0.0
India,2012,Himachal Pradesh Cricket Association Stadium,2,100.0,0.0,100.0,0.0
India,2013,Eden Gardens,8,37.5,87.5,12.5,0.0
India,2013,Feroz Shah Kotla,8,50.0,75.0,25.0,0.0
India,2013,M Chinnaswamy Stadium,8,37.5,12.5,87.5,0.0
India,2013,"MA Chidambaram Stadium, Chepauk",8,62.5,75.0,25.0,0.0
India,2013,"Rajiv Gandhi International Stadium, Uppal",8,25.0,75.0,25.0,0.0
India,2013,Sawai Mansingh Stadium,8,50.0,50.0,50.0,0.0
India,2013,Wankhede Stadium,8,75.0,87.5,12.5,0.0
India,2013,Subrata Roy Sahara Stadium,7,57.1,100.0,0.0,0.0
India,2013,"Punjab Cricket Association Stadium, Mohali",6,66.7,0.0,100.0,0.0
India,2013,Himachal Pradesh Cricket Association Stadium,2,0.0,0.0,100.0,0.0
India,2013,JSCA International Stadium Complex,2,50.0,0.0,100.0,0.0
India,2013,Shaheed Veer Narayan Singh International Stadium,2,0.0,50.0,50.0,0.0
India,2013,Maharashtra Cricket Association Stadium,1,0.0,0.0,100.0,0.0
India,2014,M Chinnaswamy Stadium,6,50.0,16.7,83.3,0.0
India,2014,Wankhede Stadium,6,33.3,16.7,83.3,0.0
India,2014,Feroz Shah Kotla,5,80.0,20.0,80.0,0.0
India,2014,Eden Gardens,4,50.0,0.0,100.0,0.0
India,2014,JSCA International Stadium Complex,4,50.0,75.0,25.0,0.0
India,2014,"Rajiv Gandhi International Stadium, Uppal",4,25.0,75.0,25.0,0.0
India,2014,"Sardar Patel Stadium, Motera",4,25.0,25.0,75.0,0.0
India,2014,Barabati Stadium,3,66.7,0.0,100.0,0.0
India,2014,"Punjab Cricket Association Stadium, Mohali",3,66.7,0.0,100.0,0.0
India,2014,Brabourne Stadium,1,100.0,0.0,100.0,0.0
India,2015,Wankhede Stadium,8,37.5,62.5,37.5,0.0
India,2015,Eden Gardens,7,57.1,28.6,71.4,0.0
India,2015,M Chinnaswamy Stadium,7,42.9,0.0,100.0,0.0
