venue_region,season,venue,matches,toss_win_match_win_pct,toss_win_bat_first_pct,toss_win_field_first_pct,toss_decision_unknown_pct
Overseas,2009,Kingsmead,15,60.0,66.7,33.3,0.0
Overseas,2009,SuperSport Park,12,66.7,50.0,50.0,0.0
Overseas,2009,New Wanderers Stadium,8,37.5,25.0,75.0,0.0
Overseas,2009,Newlands,7,57.1,57.1,42.9,0.0
Overseas,2009,St George's Park,7,42.9,100.0,0.0,0.0
Overseas,2009,Buffalo Park,3,66.7,100.0,0.0,0.0
Overseas,2009,De Beers Diamond Oval,3,66.7,66.7,33.3,0.0
Overseas,2009,OUTsurance Oval,2,100.0,50.0,50.0,0.0
Overseas,2014,Dubai International Cricket Stadium,7,42.9,42.9,57.1,0.0
Overseas,2014,Sheikh Zayed Stadium,7,71.4,57.1,42.9,0.0
Overseas,2014,Sharjah Cricket Stadium,6,33.3,33.3,66.7,0.0
Overseas,2020,Dubai International Cricket Stadium,26,38.5,46.2,53.8,0.0
Overseas,2020,Sheikh Zayed Stadium,22,50.0,50.0,50.0,0.0
Overseas,2020,Sharjah Cricket Stadium,12,58.3,33.3,66.7,0.0
Overseas,2021,Dubai International Cricket Stadium,13,53.8,30.8,69.2,0.0
Overseas,2021,Sharjah Cricket Stadium,10,70.0,20.0,80.0,0.0
Overseas,2021,"Zayed Cricket Stadium, Abu Dhabi",8,50.0,37.5,62.5,0.0
Overseas,All Time,Dubai International Cricket Stadium,46,43.5,41.3,58.7,0.0
Overseas,All Time,Sheikh Zayed Stadium,29,55.2,51.7,48.3,0.0
Overseas,All Time,Sharjah Cricket Stadium,28,57.1,28.6,71.4,0.0
Overseas,All Time,Kingsmead,15,60.0,66.7,33.3,0.0
Overseas,All Time,SuperSport Park,12,66.7,50.0,50.0,0.0
Overseas,All Time,New Wanderers Stadium,8,37.5,25.0,75.0,0.0
Overseas,All Time,"Zayed Cricket Stadium, Abu Dhabi",8,50.0,37.5,62.5,0.0
Overseas,All Time,Newlands,7,57.1,57.1,42.9,0.0
Overseas,All Time,St George's Park,7,42.9,100.0,0.0,0.0
Overseas,All Time,Buffalo Park,3,66.7,100.0,0.0,0.0
Overseas,All Time,De Beers Diamond Oval,3,66.7,66.7,33.3,0.0
Overseas,All Time,OUTsurance Oval,2,100.0,50.0,50.0,0.0
