batter,balls_faced,runs,fours,sixes,boundaries,dot_balls,strike_rate,dot_ball_pct,boundary_runs,boundary_run_pct
V Kohli,5804,7642,696,265,961,2007,131.67,34.58,4374,57.24
RG Sharma,4675,6107,569,258,827,1813,130.63,38.78,3824,62.62
S Dhawan,4724,5801,664,130,794,1867,122.8,39.52,3436,59.23
DA Warner,4084,5622,580,210,790,1588,137.66,38.88,3580,63.68
SK Raina,3657,4847,441,177,618,1277,132.54,34.92,2826,58.3
MS Dhoni,3518,4740,322,242,564,1280,134.74,36.38,2740,57.81
AM Rahane,3737,4593,471,117,588,1410,122.91,37.73,2586,56.3
CH Gayle,3103,4483,372,323,695,1435,144.47,46.25,3426,76.42
RV Uthappa,3383,4346,425,164,589,1367,128.47,40.41,2684,61.76
KL Rahul,3084,4146,368,168,536,1098,134.44,35.6,2480,59.82
KD Karthik,3122,4137,403,142,545,1130,132.51,36.19,2464,59.56
AB de Villiers,2670,4077,328,211,539,852,152.7,31.91,2578,63.23
SV Samson,2969,4019,330,181,511,1063,135.37,35.8,2406,59.87
F du Plessis,2976,3960,366,149,515,1068,133.06,35.89,2358,59.55
G Gambhir,3168,3877,455,57,512,1188,122.38,37.5,2162,55.76
JC Buttler,2591,3760,378,169,547,999,145.12,38.56,2526,67.18
AT Rayudu,2969,3735,308,157,465,1096,125.8,36.91,2174,58.21
SA Yadav,2438,3560,362,148,510,862,146.02,35.36,2336,65.62
SR Watson,2544,3458,332,171,503,1080,135.93,42.45,2354,68.07
MK Pandey,2669,3106,265,88,353,1004,116.37,37.62,1588,51.13
Shubman Gill,2183,3080,292,103,395,687,141.09,31.47,1786,57.99
RR Pant,2012,3011,271,155,426,717,149.65,35.64,2014,66.89
SS Iyer,2234,2945,253,129,382,826,131.83,36.97,1786,60.65
KA Pollard,2096,2938,193,190,383,836,140.17,39.89,1912,65.08
YK Pathan,2085,2907,234,146,380,759,139.42,36.4,1812,62.33
DA Miller,2163,2900,211,128,339,717,134.07,33.15,1612,55.59
Q de Kock,1983,2600,257,107,364,798,131.11,40.24,1670,64.23
PA Patel,2208,2588,331,46,377,976,117.21,44.2,1600,61.82
RA Jadeja,2012,2523,178,96,274,687,125.4,34.15,1288,51.05
AD Russell,1529,2518,176,213,389,663,164.68,43.36,1982,78.71
WP Saha,2020,2507,261,73,334,806,124.11,39.9,1482,59.11
SE Marsh,1913,2489,269,78,347,736,130.11,38.47,1544,62.03
V Sehwag,1590,2410,297,95,392,628,151.57,39.5,1758,72.95
M Vijay,1984,2406,225,86,311,875,121.27,44.1,1416,58.85
HH Pandya,1717,2393,186,122,308,615,139.37,35.82,1476,61.68
BB McCullum,1833,2349,242,107,349,828,128.15,45.17,1610,68.54
Yuvraj Singh,1784,2293,185,126,311,780,128.53,43.72,1496,65.24
N Rana,1701,2249,198,117,315,711,132.22,41.8,1494,66.43
Ishan Kishan,1715,2219,224,91,315,709,129.39,41.34,1442,64.98
GJ Maxwell,1415,2122,172,133,305,566,149.96,40.0,1486,70.03
MA Agarwal,1691,2117,208,78,286,691,125.19,40.86,1300,61.41
SPD Smith,1661,2066,182,50,232,541,124.38,32.57,1028,49.76
SR Tendulkar,1729,1970,257,19,276,739,113.94,42.74,1142,57.97
MEK Hussey,1594,1947,196,52,248,610,122.15,38.27,1096,56.29
YBK Jaiswal,1292,1943,234,82,316,524,150.39,40.56,1428,73.49
JH Kallis,1823,1929,208,32,240,768,105.81,42.13,1024,53.08
R Dravid,1679,1903,241,25,266,729,113.34,43.42,1114,58.54
N Pooran,1175,1883,134,138,272,441,160.26,37.53,1364,72.44
RD Gaikwad,1371,1859,176,71,247,498,135.59,36.32,1130,60.79
RA Tripathi,1374,1851,188,68,256,521,134.72,37.92,1160,62.67
DR Smith,1433,1831,202,83,285,693,127.77,48.36,1306,71.33
B Sai Sudharsan,1279,1793,183,53,236,400,140.19,31.27,1050,58.56
AR Patel,1334,1750,122,85,207,465,131.18,34.86,998,57.03
KS Williamson,1352,1677,145,53,198,483,124.04,35.72,898,53.55
MP Stoinis,1183,1656,126,90,216,442,139.98,37.36,1044,63.04
MK Tiwary,1452,1654,152,39,191,556,113.91,38.29,842,50.91
Abhishek Sharma,1041,1654,161,94,255,404,158.89,38.81,1208,73.04
S Dube,1183,1645,99,108,207,440,139.05,37.19,1044,63.47
KK Nair,1267,1639,178,48,226,497,129.36,39.23,1000,61.01
KH Pandya,1233,1600,141,58,199,473,129.76,38.36,912,57.0
SP Narine,1000,1598,178,103,281,487,159.8,48.7,1330,83.23
DPMD Jayawardene,1350,1589,183,33,216,566,117.7,41.93,930,58.53
AC Gilchrist,1218,1574,185,63,248,575,129.23,47.21,1118,71.03
Mandeep Singh,1293,1561,164,34,198,506,120.73,39.13,860,55.09
AJ Finch,1236,1558,161,59,220,538,126.05,43.53,998,64.06
Tilak Varma,1089,1499,113,74,187,376,137.65,34.53,896,59.77
PP Shaw,1031,1493,192,47,239,405,144.81,39.28,1050,70.33
JP Duminy,1214,1484,92,60,152,397,122.24,32.7,728,49.06
H Klaasen,907,1480,98,89,187,243,163.18,26.79,926,62.57
R Parag,1046,1469,106,84,190,380,140.44,36.33,928,63.17
NV Ojha,1211,1376,108,68,176,574,113.63,47.4,840,61.05
KC Sangakkara,1092,1355,166,22,188,414,124.08,37.91,796,58.75
DJ Hooda,1097,1351,91,56,147,392,123.15,35.73,700,51.81
P Simran Singh,889,1340,139,71,210,366,150.73,41.17,982,73.28
JM Bairstow,897,1329,142,61,203,351,148.16,39.13,934,70.28
DJ Bravo,1015,1300,104,54,158,393,128.08,38.72,740,56.92
AK Markram,970,1294,99,53,152,308,133.4,31.75,714,55.18
MR Marsh,932,1292,104,75,179,374,138.63,40.13,866,67.03
CA Lynn,922,1271,127,63,190,392,137.85,42.52,886,69.71
S Badrinath,1079,1264,134,24,158,415,117.15,38.46,680,53.8
