batter,matches,balls,batter_runs
V Kohli,218,5804,7642
RG Sharma,226,4675,6107
S Dhawan,186,4724,5801
DA Warner,153,4084,5622
SK Raina,172,3657,4847
MS Dhoni,204,3518,4740
AM Rahane,163,3737,4593
CH Gayle,124,3103,4483
RV Uthappa,162,3383,4346
KL Rahul,111,3084,4146
KD Karthik,189,3122,4137
AB de Villiers,131,2670,4077
SV Samson,144,2969,4019
F du Plessis,121,2976,3960
G Gambhir,130,3168,3877
JC Buttler,106,2591,3760
AT Rayudu,161,2969,3735
SA Yadav,123,2438,3560
SR Watson,125,2544,3458
MK Pandey,133,2669,3106
Shubman Gill,90,2183,3080
RR Pant,100,2012,3011
SS Iyer,105,2234,2945
KA Pollard,144,2096,2938
YK Pathan,135,2085,2907
DA Miller,126,2163,2900
Q de Kock,92,1983,2600
PA Patel,122,2208,2588
RA Jadeja,158,2012,2523
AD Russell,104,1529,2518
WP Saha,122,2020,2507
SE Marsh,69,1913,2489
V Sehwag,88,1590,2410
M Vijay,93,1984,2406
HH Pandya,121,1717,2393
BB McCullum,89,1833,2349
Yuvraj Singh,107,1784,2293
N Rana,88,1701,2249
Ishan Kishan,92,1715,2219
GJ Maxwell,110,1415,2122
MA Agarwal,106,1691,2117
SPD Smith,74,1661,2066
SR Tendulkar,65,1729,1970
MEK Hussey,54,1594,1947
YBK Jaiswal,56,1292,1943
JH Kallis,75,1823,1929
R Dravid,70,1679,1903
N Pooran,67,1175,1883
RD Gaikwad,55,1371,1859
RA Tripathi,78,1374,1851
DR Smith,71,1433,1831
B Sai Sudharsan,40,1279,1793
AR Patel,106,1334,1750
KS Williamson,59,1352,1677
MP Stoinis,81,1183,1656
Abhishek Sharma,62,1041,1654
MK Tiwary,78,1452,1654
S Dube,63,1183,1645
KK Nair,70,1267,1639
KH Pandya,97,1233,1600
SP Narine,100,1000,1598
DPMD Jayawardene,68,1350,1589
AC Gilchrist,64,1218,1574
Mandeep Singh,89,1293,1561
AJ Finch,69,1236,1558
Tilak Varma,51,1089,1499
PP Shaw,59,1031,1493
JP Duminy,58,1214,1484
H Klaasen,45,907,1480
R Parag,60,1046,1469
NV Ojha,85,1211,1376
KC Sangakkara,55,1092,1355
DJ Hooda,92,1097,1351
P Simran Singh,50,889,1340
JM Bairstow,41,897,1329
DJ Bravo,95,1015,1300
AK Markram,49,970,1294
MR Marsh,48,932,1292
CA Lynn,40,922,1271
S Badrinath,54,1079,1264
SS Tiwary,61,1099,1263
DJ Hussey,57,1040,1224
SC Ganguly,45,1113,1160
TM Head,37,706,1146
SO Hetmyer,60,799,1145
D Padikkal,51,891,1117
KM Jadhav,73,914,1117
RM Patidar,38,759,1111
VR Iyer,46,808,1098
RK Singh,50,782,1088
M Vohra,51,863,1083
DP Conway,28,794,1080
LMP Simmons,29,878,1079
V Shankar,57,842,1073
PD Salt,34,623,1056
BJ Hodge,50,828,1034
LS Livingstone,42,656,1009
MM Ali,47,715,1004
JM Sharma,47,656,991
CL White,45,774,971
A Badoni,46,740,963
IK Pathan,68,810,948
EJG Morgan,51,809,946
MC Henriques,48,747,943
KP Pietersen,28,634,866
JA Morkel,54,607,850
TH David,43,521,845
Y Venugopal Rao,37,710,821
STR Binny,62,648,812
SM Curran,41,612,807
MS Bisla,38,728,795
R Tewatia,59,583,788
Shashank Singh,33,510,773
R Ashwin,81,624,741
TM Dilshan,37,690,735
Harbhajan Singh,72,552,727
A Symonds,28,610,725
Shakib Al Hasan,45,601,721
N Wadhera,31,522,719
T Stubbs,30,442,711
AD Mathews,40,585,708
C Green,28,472,707
M Shahrukh Khan,45,486,686
LRPL Taylor,40,580,682
Dhruv Jurel,35,456,680
Abishek Porel,29,454,661
BA Stokes,35,511,650
PP Chawla,74,520,582
HM Amla,16,418,577
CH Morris,41,373,565
GJ Bailey,30,463,564
Abdul Samad,38,377,555
SN Khan,31,422,552
JD Ryder,24,417,548
ST Jayasuriya,18,368,547
Priyansh Arya,18,310,545
ML Hayden,20,430,535
GC Smith,17,469,527
HH Gibbs,22,493,515
Shahbaz Ahmed,33,443,508
OA Shah,22,405,506
SW Billings,27,399,503
E Lewis,21,403,503
PC Valthaty,21,420,499
Nithish Kumar Reddy,22,382,485
Rashid Khan,54,298,484
JP Faulkner,39,376,483
RR Rossouw,22,321,473
JJ Roy,16,335,464
WG Jacks,19,306,463
A Raghuvanshi,18,326,463
CJ Anderson,23,348,459
D Brevis,16,305,455
DT Christian,37,392,449
PJ Cummins,37,284,442
Gurkeerat Singh,27,353,440
TL Suman,27,394,439
AM Nayar,35,383,436
NLTC Perera,30,326,424
JR Hopes,19,314,417
M Manhas,29,400,413
R Ravindra,18,298,413
AL Menaria,23,367,401
Washington Sundar,34,328,400
SE Rutherford,20,310,397
RS Bopara,17,344,393
Ashutosh Sharma,18,256,393
Naman Dhir,19,226,392
Azhar Mahmood,21,311,388
RD Rickelton,14,266,388
J Fraser-McGurk,15,203,385
KR Mayers,13,276,379
MK Lomror,28,259,374
R Powell,23,261,365
P Negi,35,301,365
Rahmanullah Gurbaz,18,283,363
J Botha,25,322,362
DJ Mitchell,15,274,351
A Mishra,48,413,343
JEC Franklin,16,309,327
RN ten Doeschate,21,238,326
SA Asnodkar,11,254,325
LR Shukla,27,272,322
KV Sharma,36,284,320
Anuj Rawat,20,275,318
DB Ravi Teja,19,254,310
SN Thakur,35,217,309
R Bhatia,40,248,307
DB Das,22,267,304
C de Grandhomme,21,229,303
B Kumar,65,341,302
UBT Chand,20,314,300
A Manohar,20,243,292
Lalit Yadav,19,283,291
GH Vihari,23,331,284
CA Pujara,17,294,284
A Ashish Reddy,23,196,280
B Chipli,21,256,280
JP Inglis,11,177,278
MJ Lumb,12,198,278
PBB Rajapaksa,13,201,277
P Kumar,48,275,274
R Sathish,24,236,270
Y Nagar,19,249,265
MJ Guptill,12,188,264
VVS Laxman,15,238,263
LA Pomersbach,12,202,261
Atharva Taide,10,188,260
AP Tare,22,207,260
M Kaif,22,258,259
R Vinay Kumar,32,237,258
S Sohal,12,209,253
V Suryavanshi,7,129,252
MV Boucher,14,197,244
DJG Sammy,16,206,241
A Mhatre,7,131,240
SP Goswami,17,238,240
BCJ Cutting,17,146,238
MD Mishra,17,213,237
Aniket Verma,12,148,236
HV Patel,35,193,225
AA Jhunjhunwala,15,218,217
Ramandeep Singh,20,142,217
Harpreet Brar,23,174,209
Mohammad Nabi,17,145,207
UT Yadav,46,205,206
CA Ingram,15,183,205
K Gowtham,25,132,205
