venue_region,season,bowler,balls,runs_conceded,wickets,dot_balls,innings_bowled,overs,economy,bowling_strike_rate,dot_ball_pct,runs_per_wicket
India,2008,A Kumble,230,314,8,85,10,38.33,8.19,28.75,36.96,39.25
India,2008,A Mishra,119,140,11,42,6,19.83,7.06,10.82,35.29,12.73
India,2008,A Nehra,269,357,14,120,14,44.83,7.96,19.21,44.61,25.5
India,2008,A Nel,18,31,1,7,1,3.0,10.33,18.0,38.89,31.0
India,2008,A Symonds,41,106,0,9,3,6.83,15.52,0.0,21.95,0.0
India,2008,AA Noffke,24,41,1,6,1,4.0,10.25,24.0,25.0,41.0
India,2008,AB Agarkar,156,211,8,66,9,26.0,8.12,19.5,42.31,26.38
India,2008,AB Dinda,234,266,11,116,12,39.0,6.82,21.27,49.57,24.18
India,2008,AD Mascarenhas,24,31,2,8,1,4.0,7.75,12.0,33.33,15.5
India,2008,AM Nayar,42,69,1,14,5,7.0,9.86,42.0,33.33,69.0
India,2008,Abdur Razzak,12,29,0,5,1,2.0,14.5,0.0,41.67,0.0
India,2008,B Akhil,104,138,3,34,6,17.33,7.96,34.67,32.69,46.0
India,2008,B Geeves,48,91,2,15,2,8.0,11.38,24.0,31.25,45.5
India,2008,B Lee,96,118,5,44,4,16.0,7.38,19.2,45.83,23.6
India,2008,BAW Mendis,24,24,1,9,1,4.0,6.0,24.0,37.5,24.0
India,2008,CK Kapugedera,17,49,0,0,3,2.83,17.31,0.0,0.0,0.0
India,2008,CL White,6,24,0,0,1,1.0,24.0,0.0,0.0,0.0
India,2008,CRD Fernando,120,164,12,49,5,20.0,8.2,10.0,40.83,13.67
India,2008,D Kalyankrishna,48,88,2,10,3,8.0,11.0,24.0,20.83,44.0
India,2008,D Salunkhe,47,80,1,13,5,7.83,10.22,47.0,27.66,80.0
India,2008,DB Ravi Teja,12,19,1,3,1,2.0,9.5,12.0,25.0,19.0
India,2008,DJ Bravo,171,239,11,66,9,28.5,8.39,15.55,38.6,21.73
India,2008,DJ Hussey,78,134,3,24,5,13.0,10.31,26.0,30.77,44.67
India,2008,DJ Thornely,42,40,3,19,4,7.0,5.71,14.0,45.24,13.33
India,2008,DL Vettori,48,54,2,16,2,8.0,6.75,24.0,33.33,27.0
India,2008,DNT Zoysa,66,100,2,24,3,11.0,9.09,33.0,36.36,50.0
India,2008,DP Vijaykumar,152,205,4,63,9,25.33,8.09,38.0,41.45,51.25
India,2008,DR Smith,66,83,5,25,4,11.0,7.55,13.2,37.88,16.6
India,2008,DS Kulkarni,177,242,13,77,10,29.5,8.2,13.62,43.5,18.62
India,2008,DW Steyn,228,265,13,116,10,38.0,6.97,17.54,50.88,20.38
India,2008,GD McGrath,324,366,14,153,14,54.0,6.78,23.14,47.22,26.14
India,2008,Gagandeep Singh,84,142,3,25,4,14.0,10.14,28.0,29.76,47.33
India,2008,Harbhajan Singh,60,84,6,16,3,10.0,8.4,10.0,26.67,14.0
India,2008,I Sharma,253,348,7,110,13,42.17,8.25,36.14,43.48,49.71
India,2008,IK Pathan,318,361,20,150,14,53.0,6.81,15.9,47.17,18.05
India,2008,Iqbal Abdulla,18,22,1,6,1,3.0,7.33,18.0,33.33,22.0
India,2008,JA Morkel,288,414,20,100,13,48.0,8.62,14.4,34.72,20.7
India,2008,JDP Oram,96,149,6,32,4,16.0,9.31,16.0,33.33,24.83
India,2008,JH Kallis,206,322,4,55,11,34.33,9.38,51.5,26.7,80.5
India,2008,JR Hopes,168,285,7,52,11,28.0,10.18,24.0,30.95,40.71
India,2008,Joginder Sharma,148,241,9,43,7,24.67,9.77,16.44,29.05,26.78
India,2008,K Goel,12,25,0,2,1,2.0,12.5,0.0,16.67,0.0
India,2008,L Balaji,198,293,11,60,9,33.0,8.88,18.0,30.3,26.64
India,2008,LPC Silva,6,21,0,0,1,1.0,21.0,0.0,0.0,0.0
India,2008,LR Shukla,72,126,6,18,9,12.0,10.5,12.0,25.0,21.0
India,2008,M Kartik,88,132,5,31,5,14.67,9.0,17.6,35.23,26.4
India,2008,M Muralitharan,348,416,11,127,15,58.0,7.17,31.64,36.49,37.82
India,2008,M Ntini,210,257,8,99,9,35.0,7.34,26.25,47.14,32.12
India,2008,MA Khote,30,52,2,5,2,5.0,10.4,15.0,16.67,26.0
India,2008,MF Maharoof,216,255,19,84,10,36.0,7.08,11.37,38.89,13.42
India,2008,MM Patel,330,423,16,141,15,55.0,7.69,20.62,42.73,26.44
