bowler,balls_bowled,runs_conceded,wickets,dot_balls,overs_bowled,economy,bowling_strike_rate,dot_ball_pct
B Kumar,4006,5127,195,1818,667.67,7.68,20.54,45.38
YS Chahal,3259,4410,186,1183,543.17,8.12,17.52,36.3
SP Narine,3794,4312,180,1548,632.33,6.82,21.08,40.8
R Ashwin,4254,5020,176,1589,709.0,7.08,24.17,37.35
PP Chawla,3394,4543,176,1211,565.67,8.03,19.28,35.68
DJ Bravo,2750,3759,172,992,458.33,8.2,15.99,36.07
A Mishra,2989,3592,161,1121,498.17,7.21,18.57,37.5
UT Yadav,3094,4287,161,1343,515.67,8.31,19.22,43.41
SL Malinga,2527,3022,159,1120,421.17,7.18,15.89,44.32
JJ Bumrah,2874,3447,157,1232,479.0,7.2,18.31,42.87
RA Jadeja,3462,4368,154,1204,577.0,7.57,22.48,34.78
HV Patel,2289,3310,149,865,381.5,8.68,15.36,37.79
Harbhajan Singh,3089,3685,145,1217,514.83,7.16,21.3,39.4
Sandeep Sharma,2705,3603,140,1131,450.83,7.99,19.32,41.81
MM Sharma,2351,3385,139,853,391.83,8.64,16.91,36.28
Rashid Khan,2651,3268,134,990,441.83,7.4,19.78,37.34
AD Russell,1715,2656,122,653,285.83,9.29,14.06,38.08
TA Boult,2276,3149,120,1010,379.33,8.3,18.97,44.38
AR Patel,2769,3504,111,962,461.5,7.59,24.95,34.74
R Vinay Kumar,1884,2639,110,739,314.0,8.4,17.13,39.23
JD Unadkat,2062,2976,109,745,343.67,8.66,18.92,36.13
Z Khan,2003,2557,107,883,333.83,7.66,18.72,44.08
Mohammed Shami,2065,2968,107,893,344.17,8.62,19.3,43.24
SR Watson,2098,2704,106,931,349.67,7.73,19.79,44.38
Kuldeep Yadav,2035,2710,105,670,339.17,7.99,19.38,32.92
A Nehra,1630,2159,98,722,271.67,7.95,16.63,44.29
DW Steyn,2026,2256,95,1037,337.67,6.68,21.33,51.18
CH Morris,1499,2003,93,640,249.83,8.02,16.12,42.7
Mohammed Siraj,2092,2992,92,975,348.67,8.58,22.74,46.61
KH Pandya,2035,2470,89,704,339.17,7.28,22.87,34.59
SN Thakur,1785,2743,89,687,297.5,9.22,20.06,38.49
K Rabada,1393,2022,88,597,232.17,8.71,15.83,42.86
I Sharma,2207,3070,86,1014,367.83,8.35,25.66,45.94
Imran Tahir,1274,1651,85,455,212.33,7.78,14.99,35.71
HH Pandya,1707,2531,84,656,284.5,8.9,20.32,38.43
KK Ahmed,1432,2071,83,670,238.67,8.68,17.25,46.79
P Kumar,2262,2880,82,1083,377.0,7.64,27.59,47.88
KV Sharma,1383,1956,82,490,230.5,8.49,16.87,35.43
Arshdeep Singh,1513,2209,82,616,252.17,8.76,18.45,40.71
Avesh Khan,1463,2231,82,551,243.83,9.15,17.84,37.66
M Morkel,1507,1899,80,709,251.17,7.56,18.84,47.05
JA Morkel,1493,1992,78,626,248.83,8.01,19.14,41.93
DS Kulkarni,1551,2085,78,697,258.5,8.07,19.88,44.94
PP Ojha,1502,1873,77,597,250.33,7.48,19.51,39.75
IK Pathan,1774,2272,77,803,295.67,7.68,23.04,45.26
MJ McClenaghan,1323,1800,75,591,220.5,8.16,17.64,44.67
KA Pollard,1365,1904,75,450,227.5,8.37,18.2,32.97
RP Singh,1492,1987,74,683,248.67,7.99,20.16,45.78
AB Dinda,1335,1789,74,600,222.5,8.04,18.04,44.94
DL Chahar,1500,1961,72,723,250.0,7.84,20.83,48.2
CV Varun,1375,1840,72,550,229.17,8.03,19.1,40.0
M Prasidh Krishna,1405,1974,72,644,234.17,8.43,19.51,45.84
MA Starc,998,1453,70,438,166.33,8.74,14.26,43.89
PJ Cummins,1337,1973,69,526,222.83,8.85,19.38,39.34
Mustafizur Rahman,1266,1658,68,507,211.0,7.86,18.62,40.05
SK Trivedi,1434,1792,67,527,239.0,7.5,21.4,36.75
