bowler,death_balls,death_runs_conceded,death_wickets,death_dot_balls,death_overs,death_economy,death_strike_rate,death_dot_ball_pct
DJ Bravo,1249,1915,113,418,208.17,9.2,11.05,33.47
B Kumar,1397,2139,105,453,232.83,9.19,13.3,32.43
SL Malinga,995,1330,100,364,165.83,8.02,9.95,36.58
JJ Bumrah,1152,1572,91,387,192.0,8.19,12.66,33.59
HV Patel,816,1322,81,301,136.0,9.72,10.07,36.89
MM Sharma,805,1340,70,237,134.17,9.99,11.5,29.44
SP Narine,939,1170,69,353,156.5,7.48,13.61,37.59
Sandeep Sharma,699,1159,66,213,116.5,9.95,10.59,30.47
UT Yadav,764,1298,64,243,127.33,10.19,11.94,31.81
YS Chahal,568,881,58,188,94.67,9.31,9.79,33.1
SR Watson,618,941,55,237,103.0,9.14,11.24,38.35
R Vinay Kumar,599,1038,55,181,99.83,10.4,10.89,30.22
CH Morris,571,815,54,184,95.17,8.56,10.57,32.22
JD Unadkat,587,1002,54,196,97.83,10.24,10.87,33.39
Mohammed Shami,493,834,52,152,82.17,10.15,9.48,30.83
TA Boult,602,1040,52,183,100.33,10.37,11.58,30.4
AD Russell,529,927,52,180,88.17,10.51,10.17,34.03
A Nehra,428,655,50,144,71.33,9.18,8.56,33.64
DW Steyn,574,764,47,225,95.67,7.99,12.21,39.2
SN Thakur,626,1068,45,224,104.33,10.24,13.91,35.78
K Rabada,461,734,44,181,76.83,9.55,10.48,39.26
Z Khan,548,847,43,163,91.33,9.27,12.74,29.74
M Prasidh Krishna,505,811,41,212,84.17,9.64,12.32,41.98
Rashid Khan,511,733,40,191,85.17,8.61,12.78,37.38
Arshdeep Singh,520,808,40,173,86.67,9.32,13.0,33.27
RP Singh,425,674,40,137,70.83,9.52,10.62,32.24
Avesh Khan,548,876,40,172,91.33,9.59,13.7,31.39
M Pathirana,444,637,39,187,74.0,8.61,11.38,42.12
A Mishra,487,711,39,177,81.17,8.76,12.49,36.34
Mustafizur Rahman,541,792,39,202,90.17,8.78,13.87,37.34
JP Faulkner,451,728,38,144,75.17,9.69,11.87,31.93
Mohammed Siraj,628,1009,37,249,104.67,9.64,16.97,39.65
KK Ahmed,384,643,37,155,64.0,10.05,10.38,40.36
MA Starc,292,432,36,110,48.67,8.88,8.11,37.67
JA Morkel,294,440,36,91,49.0,8.98,8.17,30.95
M Morkel,365,552,36,115,60.83,9.07,10.14,31.51
T Natarajan,426,687,36,135,71.0,9.68,11.83,31.69
PP Chawla,381,564,35,137,63.5,8.88,10.89,35.96
R Ashwin,560,755,34,180,93.33,8.09,16.47,32.14
MJ McClenaghan,395,597,34,148,65.83,9.07,11.62,37.47
HH Pandya,319,596,34,116,53.17,11.21,9.38,36.36
Kuldeep Yadav,330,446,32,117,55.0,8.11,10.31,35.45
P Kumar,522,902,32,161,87.0,10.37,16.31,30.84
AB Dinda,373,673,32,110,62.17,10.83,11.66,29.49
RA Jadeja,473,665,31,174,78.83,8.44,15.26,36.79
L Balaji,379,651,30,110,63.17,10.31,12.63,29.02
S Kaul,369,527,29,107,61.5,8.57,12.72,29.0
TU Deshpande,323,571,29,125,53.83,10.61,11.14,38.7
DE Bollinger,242,297,28,98,40.33,7.36,8.64,40.5
KA Pollard,319,540,28,103,53.17,10.16,11.39,32.29
SM Curran,314,572,28,93,52.33,10.93,11.21,29.62
JH Kallis,337,547,27,99,56.17,9.74,12.48,29.38
AJ Tye,291,428,26,95,48.5,8.82,11.19,32.65
Imran Tahir,320,481,26,96,53.33,9.02,12.31,30.0
IK Pathan,353,568,26,102,58.83,9.65,13.58,28.9
PJ Cummins,395,648,26,126,65.83,9.84,15.19,31.9
MG Johnson,265,424,25,108,44.17,9.6,10.6,40.75
SK Trivedi,278,409,24,92,46.33,8.83,11.58,33.09
RJ Harris,220,339,24,74,36.67,9.25,9.17,33.64
Mukesh Kumar,260,516,24,84,43.33,11.91,10.83,32.31
Harbhajan Singh,239,337,23,84,39.83,8.46,10.39,35.15
WD Parnell,230,321,21,83,38.33,8.37,10.95,36.09
AR Patel,348,519,21,116,58.0,8.95,16.57,33.33
DS Kulkarni,320,505,21,115,53.33,9.47,15.24,35.94
MM Patel,263,442,21,77,43.83,10.08,12.52,29.28
TG Southee,324,572,21,102,54.0,10.59,15.43,31.48
NLTC Perera,238,439,21,66,39.67,11.07,11.33,27.73
KK Cooper,274,402,20,96,45.67,8.8,13.7,35.04
PP Ojha,233,372,20,71,38.83,9.58,11.65,30.47
JC Archer,348,574,20,117,58.0,9.9,17.4,33.62
JR Hazlewood,206,343,19,78,34.33,9.99,10.84,37.86
Yash Dayal,252,422,19,83,42.0,10.05,13.26,32.94
Sohail Tanvir,107,122,18,47,17.83,6.84,5.94,43.93
M Muralitharan,242,350,18,92,40.33,8.68,13.44,38.02
Azhar Mahmood,214,339,18,66,35.67,9.5,11.89,30.84
NM Coulter-Nile,146,247,18,49,24.33,10.15,8.11,33.56
I Sharma,437,777,18,140,72.83,10.67,24.28,32.04
KH Pandya,189,244,16,75,31.5,7.75,11.81,39.68
S Aravind,154,244,16,52,25.67,9.51,9.62,33.77
VG Arora,150,246,16,59,25.0,9.84,9.38,39.33
CR Woakes,169,290,16,60,28.17,10.3,10.56,35.5
Ravi Bishnoi,181,312,16,67,30.17,10.34,11.31,37.02
Yash Thakur,197,346,16,70,32.83,10.54,12.31,35.53
SW Tait,159,216,15,68,26.5,8.15,10.6,42.77
BA Stokes,180,275,15,71,30.0,9.17,12.0,39.44
R Bhatia,178,270,14,50,29.67,9.1,12.71,28.09
Shakib Al Hasan,205,312,14,62,34.17,9.13,14.64,30.24
Harshit Rana,166,257,14,64,27.67,9.29,11.86,38.55
JO Holder,211,354,14,69,35.17,10.07,15.07,32.7
RP Meredith,144,244,14,59,24.0,10.17,10.29,40.97
P Awana,171,293,14,63,28.5,10.28,12.21,36.84
VR Aaron,205,367,14,79,34.17,10.74,14.64,38.54
Basil Thampi,158,292,14,40,26.33,11.09,11.29,25.32
A Nortje,238,451,14,79,39.67,11.37,17.0,33.19
Noor Ahmad,137,178,13,66,22.83,7.8,10.54,48.18
AS Joseph,138,215,13,54,23.0,9.35,10.62,39.13
A Zampa,84,139,13,28,14.0,9.93,6.46,33.33
DT Christian,203,360,13,66,33.83,10.64,15.62,32.51
A Singh,129,231,13,37,21.5,10.74,9.92,28.68
LH Ferguson,236,431,13,73,39.33,10.96,18.15,30.93
PWH de Silva,116,159,12,49,19.33,8.22,9.67,42.24
M Theekshana,166,238,12,60,27.67,8.6,13.83,36.14
CV Varun,218,314,12,91,36.33,8.64,18.17,41.74
MF Maharoof,91,136,12,25,15.17,8.97,7.58,27.47
Naveen-ul-Haq,174,266,12,65,29.0,9.17,14.5,37.36
MR Marsh,129,224,12,45,21.5,10.42,10.75,34.88
Harmeet Singh,111,131,11,47,18.5,7.08,10.09,42.34
VY Mahesh,64,81,11,30,10.67,7.59,5.82,46.88
RD Chahar,140,194,11,52,23.33,8.31,12.73,37.14
B Lee,282,434,11,85,47.0,9.23,25.64,30.14
SK Warne,121,187,11,41,20.17,9.27,11.0,33.88
A Ashish Reddy,105,169,11,32,17.5,9.66,9.55,30.48
Mohsin Khan,144,238,11,53,24.0,9.92,13.09,36.81
Akash Madhwal,155,260,11,57,25.83,10.06,14.09,36.77
L Ngidi,103,139,10,44,17.17,8.1,10.3,42.72
AD Mathews,153,218,10,39,25.5,8.55,15.3,25.49
Navdeep Saini,108,156,10,48,18.0,8.67,10.8,44.44
DP Nannes,114,166,10,42,19.0,8.74,11.4,36.84
VRV Singh,99,148,10,32,16.5,8.97,9.9,32.32
M Jansen,102,175,10,38,17.0,10.29,10.2,37.25
DL Chahar,106,185,10,36,17.67,10.47,10.6,33.96
CJ Jordan,190,352,10,65,31.67,11.12,19.0,34.21
A Kumble,105,138,9,44,17.5,7.89,11.67,41.9
KV Sharma,100,169,9,30,16.67,10.14,11.11,30.0
R Sai Kishore,84,145,9,24,14.0,10.36,9.33,28.57
AN Ahmed,102,177,9,30,17.0,10.41,11.33,29.41
NT Ellis,117,207,9,34,19.5,10.62,13.0,29.06
Anureet Singh,123,219,9,37,20.5,10.68,13.67,30.08
P Negi,85,152,9,33,14.17,10.73,9.44,38.82
M Kartik,131,173,8,27,21.83,7.92,16.38,20.61
OC McCoy,71,97,8,32,11.83,8.2,8.88,45.07
LR Shukla,64,93,8,23,10.67,8.72,8.0,35.94
R Sharma,156,230,8,49,26.0,8.85,19.5,31.41
CH Gayle,112,173,8,46,18.67,9.27,14.0,41.07
S Sreesanth,121,191,8,41,20.17,9.47,15.12,33.88
D Wiese,65,108,8,20,10.83,9.97,8.12,30.77
MS Gony,112,189,8,39,18.67,10.12,14.0,34.82
AS Rajpoot,77,135,8,20,12.83,10.52,9.62,25.97
Vijaykumar Vyshak,89,175,8,30,14.83,11.8,11.12,33.71
JP Behrendorff,64,127,8,23,10.67,11.91,8.0,35.94
MP Stoinis,106,245,8,31,17.67,13.87,13.25,29.25
J Botha,83,102,7,31,13.83,7.37,11.86,37.35
DL Vettori,135,170,7,45,22.5,7.56,19.29,33.33
GB Hogg,93,121,7,38,15.5,7.81,13.29,40.86
Iqbal Abdulla,124,174,7,46,20.67,8.42,17.71,37.1
CRD Fernando,90,132,7,32,15.0,8.8,12.86,35.56
BB Sran,96,141,7,29,16.0,8.81,13.71,30.21
AB Agarkar,128,207,7,34,21.33,9.7,18.29,26.56
Umran Malik,62,103,7,27,10.33,9.97,8.86,43.55
G Coetzee,106,183,7,39,17.67,10.36,15.14,36.79
R McLaren,88,156,7,24,14.67,10.64,12.57,27.27
PVD Chameera,111,197,7,41,18.5,10.65,15.86,36.94
Shivam Mavi,112,203,7,43,18.67,10.88,16.0,38.39
KW Richardson,90,168,7,30,15.0,11.2,12.86,33.33
J Theron,107,152,6,30,17.83,8.52,17.83,28.04
SK Raina,104,148,6,37,17.33,8.54,17.33,35.58
SJ Srivastava,60,88,6,25,10.0,8.8,10.0,41.67
S Nadeem,100,148,6,29,16.67,8.88,16.67,29.0
Yuvraj Singh,84,130,6,27,14.0,9.29,14.0,32.14
JR Hopes,113,216,6,28,18.83,11.47,18.83,24.78
AC Thomas,118,193,5,26,19.67,9.81,23.6,22.03
Mohammad Asif,63,106,5,18,10.5,10.1,12.6,28.57
SB Jakati,89,152,5,24,14.83,10.25,17.8,26.97
C Sakariya,103,180,5,29,17.17,10.49,20.6,28.16
B Laughlin,78,140,5,25,13.0,10.77,15.6,32.05
A Mithun,78,141,5,30,13.0,10.85,15.6,38.46
PV Tambe,67,122,5,15,11.17,10.93,13.4,22.39
Mujeeb Ur Rahman,77,142,5,29,12.83,11.06,15.4,37.66
BW Hilfenhaus,70,133,5,24,11.67,11.4,14.0,34.29
C Green,101,194,5,34,16.83,11.52,20.2,33.66
CJ Anderson,79,160,5,26,13.17,12.15,15.8,32.91
M Ashwin,102,150,4,34,17.0,8.82,25.5,33.33
DS Rathi,63,98,4,19,10.5,9.33,15.75,30.16
TS Mills,67,110,4,23,11.17,9.85,16.75,34.33
MC Henriques,71,118,4,24,11.83,9.97,17.75,33.8
PJ Sangwan,80,139,4,20,13.33,10.42,20.0,25.0
A Symonds,73,128,4,21,12.17,10.52,18.25,28.77
KR Sen,65,138,4,23,10.83,12.74,16.25,35.38
GD McGrath,79,120,3,19,13.17,9.11,26.33,24.05
STR Binny,61,97,3,11,10.17,9.54,20.33,18.03
Washington Sundar,63,102,3,15,10.5,9.71,21.0,23.81
R Dhawan,93,157,3,24,15.5,10.13,31.0,25.81
Rasikh Salam,68,118,3,25,11.33,10.41,22.67,36.76
M Markande,100,179,3,37,16.67,10.74,33.33,37.0
D Pretorius,81,149,3,33,13.5,11.04,27.0,40.74
BCJ Cutting,78,147,3,17,13.0,11.31,26.0,21.79
KA Jamieson,61,123,3,18,10.17,12.1,20.33,29.51
Arshad Khan,63,144,3,17,10.5,13.71,21.0,26.98
N Thushara,74,107,2,21,12.33,8.68,37.0,28.38
