venue,city,matches,avg_runs_per_match,median_runs_per_match
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,34,356.94,353.5
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,45,345.31,341.0
"Brabourne Stadium, Mumbai",Mumbai,27,344.63,351.0
"Barsapara Cricket Stadium, Guwahati",Guwahati,5,336.2,341.0
"Ekana Cricket Stadium, Lucknow",Lucknow,22,333.82,342.5
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,10,333.3,335.0
"HPCA Stadium, Dharamshala",Dharamsala,15,331.27,335.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Mohali,9,330.78,351.0
"Wankhede Stadium, Mumbai",Mumbai,125,330.57,334.0
"Arun Jaitley Stadium, New, Delhi",Delhi,97,327.82,329.0
"PCA Stadium, Mohali",Chandigarh,61,325.64,329.0
"Barabati Stadium, Cuttack",Cuttack,7,325.43,332.0
"Eden Gardens, Kolkata",Kolkata,100,322.24,323.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",New Chandigarh,2,321.5,321.5
"Holkar Cricket Stadium, Indore",Indore,9,319.11,327.0
"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,9,318.33,311.0
"Sawai Mansingh Stadium, Jaipur",Jaipur,64,318.11,320.0
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,83,317.98,315.0
"MA Chidambaram Stadium, Chennai",Chennai,91,314.34,309.0
"M Chinnaswamy Stadium, Bengaluru",Bangalore,65,311.74,317.0
ACA-VDCA Cricket Stadium - Vizag,Visakhapatnam,17,311.47,312.0
"MCA Stadium, Pune",Pune,51,306.73,311.0
"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai,28,304.21,306.5
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,3,294.0,289.0
"JSCA International Stadium Complex, Ranchi",Ranchi,7,293.71,280.0
"Shaheed Veer Narayan Singh International Stadium, New Raipur",Raipur,6,290.17,295.0
"Nehru Stadium, Goa",Kochi,5,272.6,276.0
