batter,runs,balls,outs,matches,strike_rate,average
V Kohli,8661,6698,231,259,129.30725589728277,37.493506493506494
RG Sharma,7046,5472,246,266,128.76461988304092,28.642276422764226
S Dhawan,6769,5481,194,221,123.49936143039591,34.891752577319586
DA Warner,6565,4844,162,184,135.52848885218827,40.52469135802469
SK Raina,5528,4174,167,200,132.43890752275996,33.10179640718563
MS Dhoni,5439,4101,158,241,132.626188734455,34.424050632911396
KL Rahul,5222,3938,113,135,132.60538344337226,46.21238938053097
AB de Villiers,5162,3479,125,170,148.37597010635238,41.296
AM Rahane,5032,4133,167,183,121.75175417372368,30.131736526946106
CH Gayle,4965,3502,127,141,141.7761279268989,39.09448818897638
RV Uthappa,4952,3925,184,197,126.1656050955414,26.91304347826087
KD Karthik,4842,3684,189,233,131.4332247557003,25.61904761904762
F du Plessis,4773,3605,135,147,132.39944521497918,35.355555555555554
SV Samson,4704,3475,151,171,135.36690647482015,31.1523178807947
AT Rayudu,4348,3490,152,185,124.58452722063038,28.605263157894736
SA Yadav,4311,2960,122,151,145.6418918918919,35.33606557377049
G Gambhir,4217,3524,135,151,119.66515323496027,31.237037037037037
JC Buttler,4120,2854,105,119,144.35879467414156,39.23809523809524
MK Pandey,3942,3351,134,161,117.63652641002686,29.417910447761194
SR Watson,3874,2888,125,141,134.14127423822714,30.992
Shubman Gill,3866,2867,98,114,134.84478549005928,39.44897959183673
SS Iyer,3731,2903,113,131,128.52221839476402,33.017699115044245
RR Pant,3553,2493,107,123,142.51905334937825,33.205607476635514
KA Pollard,3412,2433,126,168,140.23838882038635,27.07936507936508
Q de Kock,3309,2530,107,115,130.7905138339921,30.925233644859812
RA Jadeja,3260,2607,123,194,125.04794783275797,26.504065040650406
YK Pathan,3204,2330,111,153,137.5107296137339,28.864864864864863
DA Miller,3077,2294,88,133,134.1325196163906,34.96590909090909
Ishan Kishan,2998,2237,101,112,134.01877514528385,29.683168316831683
WP Saha,2934,2368,121,143,123.90202702702702,24.24793388429752
BB McCullum,2880,2267,106,109,127.0401411557124,27.169811320754718
N Rana,2853,2156,104,112,132.32838589981446,27.432692307692307
PA Patel,2848,2442,127,136,116.62571662571663,22.4251968503937
GJ Maxwell,2819,1895,117,134,148.7598944591029,24.094017094017094
MA Agarwal,2756,2144,119,125,128.54477611940297,23.159663865546218
Yuvraj Singh,2750,2205,109,126,124.71655328798185,25.229357798165136
HH Pandya,2749,1956,99,140,140.54192229038856,27.767676767676768
V Sehwag,2728,1833,98,104,148.82705946535734,27.836734693877553
AD Russell,2651,1623,91,114,163.33949476278497,29.13186813186813
M Vijay,2619,2208,97,105,118.61413043478262,27.0
RD Gaikwad,2502,1863,61,70,134.29951690821255,41.01639344262295
SPD Smith,2485,1994,78,93,124.62387161484455,31.858974358974358
SE Marsh,2477,1908,64,69,129.82180293501048,38.703125
JH Kallis,2427,2291,89,95,105.93627237014405,27.269662921348313
DR Smith,2385,1803,81,88,132.27953410981698,29.444444444444443
SR Tendulkar,2334,2044,71,78,114.18786692759295,32.87323943661972
N Pooran,2293,1431,65,86,160.2375960866527,35.276923076923076
RA Tripathi,2291,1707,86,98,134.21206795547744,26.63953488372093
R Dravid,2174,1918,77,82,113.34723670490095,28.233766233766232
YBK Jaiswal,2166,1454,62,66,148.96836313617607,34.935483870967744
KS Williamson,2128,1731,59,76,122.93471981513575,36.067796610169495
AJ Finch,2091,1692,84,90,123.58156028368793,24.892857142857142
AC Gilchrist,2069,1555,76,80,133.05466237942122,27.223684210526315
JP Duminy,2029,1680,49,75,120.77380952380952,41.40816326530612
MP Stoinis,2026,1457,73,99,139.0528483184626,27.753424657534246
MEK Hussey,1977,1648,52,58,119.96359223300972,38.01923076923077
AR Patel,1916,1489,88,123,128.67696440564137,21.772727272727273
PP Shaw,1892,1321,77,79,143.22482967448903,24.571428571428573
S Dube,1859,1366,61,75,136.09077598828696,30.475409836065573
Abhishek Sharma,1816,1167,67,74,155.61268209083119,27.104477611940297
D Padikkal,1806,1496,72,74,120.72192513368985,25.083333333333332
