bowler,balls,runs_conceded,wickets,matches,overs,economy,strike_rate,average
YS Chahal,3905,5112,229,172,650.8333333333334,7.8545454545454545,17.05240174672489,22.323144104803493
B Kumar,4378,5541,213,190,729.6666666666666,7.59387848332572,20.55399061032864,26.014084507042252
SP Narine,4415,5018,212,187,735.8333333333334,6.819479048697621,20.82547169811321,23.669811320754718
DJ Bravo,3296,4436,207,158,549.3333333333334,8.075242718446601,15.922705314009661,21.429951690821255
R Ashwin,4868,5721,205,217,811.3333333333334,7.0513557929334425,23.746341463414634,27.90731707317073
PP Chawla,3895,5179,201,191,649.1666666666666,7.977920410783056,19.378109452736318,25.766169154228855
JJ Bumrah,3450,4132,199,145,575.0,7.18608695652174,17.33668341708543,20.763819095477388
SL Malinga,2974,3486,188,122,495.6666666666667,7.032952252858103,15.819148936170214,18.54255319148936
A Mishra,3444,4193,183,162,574.0,7.304878048780488,18.81967213114754,22.91256830601093
RA Jadeja,4127,5242,179,225,687.8333333333334,7.6210322267991275,23.05586592178771,29.28491620111732
HV Patel,2570,3649,168,116,428.3333333333333,8.519066147859922,15.297619047619047,21.720238095238095
Rashid Khan,3224,3843,166,136,537.3333333333334,7.151985111662531,19.42168674698795,23.150602409638555
Sandeep Sharma,3164,4121,163,136,527.3333333333334,7.814791403286978,19.411042944785276,25.282208588957054
UT Yadav,3184,4427,163,147,530.6666666666666,8.342336683417086,19.533742331288344,27.15950920245399
Harbhajan Singh,3496,4101,161,160,582.6666666666666,7.0383295194508015,21.714285714285715,25.472049689440993
TA Boult,2781,3791,151,119,463.5,8.179072276159655,18.417218543046356,25.105960264900663
Mohammed Shami,2699,3826,149,119,449.8333333333333,8.505372360133384,18.114093959731544,25.677852348993287
MM Sharma,2471,3537,149,119,411.8333333333333,8.588425738567382,16.583892617449663,23.738255033557046
AR Patel,3365,4131,137,160,560.8333333333334,7.365824665676077,24.562043795620436,30.153284671532848
AD Russell,1885,2909,133,121,314.1666666666667,9.25941644562334,14.172932330827068,21.872180451127818
R Vinay Kumar,2179,3021,127,104,363.1666666666667,8.318494722349701,17.15748031496063,23.787401574803148
K Rabada,1986,2807,125,84,331.0,8.48036253776435,15.888,22.456
A Nehra,1974,2537,121,88,329.0,7.711246200607903,16.31404958677686,20.96694214876033
JD Unadkat,2340,3396,121,111,390.0,8.707692307692307,19.33884297520661,28.06611570247934
Z Khan,2276,2860,119,99,379.3333333333333,7.539543057996485,19.126050420168067,24.03361344537815
SN Thakur,2205,3284,115,102,367.5,8.936054421768707,19.17391304347826,28.556521739130435
Mohammed Siraj,2448,3434,112,108,408.0,8.416666666666666,21.857142857142858,30.660714285714285
SR Watson,2137,2742,107,105,356.1666666666667,7.698642957416939,19.97196261682243,25.626168224299064
Kuldeep Yadav,2110,2805,106,96,351.6666666666667,7.976303317535544,19.90566037735849,26.462264150943398
Arshdeep Singh,1820,2624,106,81,303.3333333333333,8.650549450549452,17.169811320754718,24.754716981132077
DW Steyn,2276,2568,105,95,379.3333333333333,6.769771528998243,21.676190476190477,24.457142857142856
CH Morris,1794,2362,105,81,299.0,7.8996655518394645,17.085714285714285,22.495238095238093
CV Varun,1932,2432,102,83,322.0,7.552795031055901,18.941176470588236,23.84313725490196
P Kumar,2637,3342,102,119,439.5,7.604095563139932,25.852941176470587,32.76470588235294
