team_bowling,balls,runs_conceded,wickets,matches,overs,economy,strike_rate
Chennai Super Kings,30207,39658,1440,252,5034.5,7.88,20.98
Delhi Capitals,31584,42625,1412,265,5264.0,8.1,22.37
Gujarat Lions,3540,5079,131,30,590.0,8.61,27.02
Gujarat Titans,7145,10351,362,60,1190.8,8.69,19.74
Kochi Tuskers Kerala,1614,1986,62,14,269.0,7.38,26.03
Kolkata Knight Riders,31150,41321,1408,264,5191.7,7.96,22.12
Lucknow Super Giants,6934,10194,324,57,1155.7,8.82,21.4
Mumbai Indians,33399,43967,1564,277,5566.5,7.9,21.35
Pune Warriors,5457,6857,219,46,909.5,7.54,24.92
Punjab Kings,31042,42873,1390,263,5173.7,8.29,22.33
Rajasthan Royals,28170,37874,1218,235,4695.0,8.07,23.13
Rising Pune Supergiant,3543,4549,170,30,590.5,7.7,20.84
Royal Challengers Bangalore,31877,43369,1452,269,5312.8,8.16,21.95
Sunrisers Hyderabad,32372,43270,1473,271,5395.3,8.02,21.98
