season_id,team_bowling,balls,runs_conceded,wickets,matches,overs,economy,strike_rate
2008,Chennai Super Kings,1908,2568,83,16,318.0,8.08,22.99
2008,Delhi Capitals,1660,2223,82,14,276.7,8.03,20.24
2008,Kolkata Knight Riders,1350,1718,61,13,225.0,7.64,22.13
2008,Mumbai Indians,1627,2096,83,14,271.2,7.73,19.6
2008,Punjab Kings,1769,2417,83,15,294.8,8.2,21.31
2008,Rajasthan Royals,1899,2403,96,16,316.5,7.59,19.78
2008,Royal Challengers Bangalore,1623,2205,56,14,270.5,8.15,28.98
2008,Sunrisers Hyderabad,1653,2307,60,14,275.5,8.37,27.55
2009,Chennai Super Kings,1626,2004,84,14,271.0,7.39,19.36
2009,Delhi Capitals,1804,2158,91,15,300.7,7.18,19.82
2009,Kolkata Knight Riders,1558,1957,49,13,259.7,7.54,31.8
2009,Mumbai Indians,1565,1802,72,13,260.8,6.91,21.74
2009,Punjab Kings,1550,1886,71,14,258.3,7.3,21.83
2009,Rajasthan Royals,1609,1810,78,13,268.2,6.75,20.63
2009,Royal Challengers Bangalore,1912,2316,79,16,318.7,7.27,24.2
2009,Sunrisers Hyderabad,1971,2387,97,16,328.5,7.27,20.32
2010,Chennai Super Kings,1970,2507,89,16,328.3,7.64,22.13
2010,Delhi Capitals,1713,2166,81,14,285.5,7.59,21.15
2010,Kolkata Knight Riders,1653,2192,68,14,275.5,7.96,24.31
2010,Mumbai Indians,1927,2417,86,16,321.2,7.53,22.41
2010,Punjab Kings,1703,2365,63,14,283.8,8.33,27.03
2010,Rajasthan Royals,1621,2224,66,14,270.2,8.23,24.56
2010,Royal Challengers Bangalore,1977,2511,81,16,329.5,7.62,24.41
2010,Sunrisers Hyderabad,1925,2482,93,16,320.8,7.74,20.7
2011,Chennai Super Kings,1874,2300,83,16,312.3,7.36,22.58
2011,Delhi Capitals,1554,2076,61,13,259.0,8.02,25.48
2011,Kochi Tuskers Kerala,1614,1986,62,14,269.0,7.38,26.03
2011,Kolkata Knight Riders,1770,2072,76,15,295.0,7.02,23.29
2011,Mumbai Indians,1897,2283,91,16,316.2,7.22,20.85
2011,Pune Warriors,1628,1914,72,14,271.3,7.05,22.61
2011,Punjab Kings,1596,2173,78,14,266.0,8.17,20.46
2011,Rajasthan Royals,1460,1801,55,13,243.3,7.4,26.55
2011,Royal Challengers Bangalore,1945,2512,81,16,324.2,7.75,24.01
2011,Sunrisers Hyderabad,1675,2037,80,14,279.2,7.3,20.94
2012,Chennai Super Kings,2112,2621,94,18,352.0,7.45,22.47
2012,Delhi Capitals,2133,2745,85,18,355.5,7.72,25.09
2012,Kolkata Knight Riders,2035,2366,95,17,339.2,6.98,21.42
2012,Mumbai Indians,2073,2530,96,17,345.5,7.32,21.59
2012,Pune Warriors,1905,2424,69,16,317.5,7.63,27.61
2012,Punjab Kings,1931,2455,86,16,321.8,7.63,22.45
2012,Rajasthan Royals,1921,2402,88,16,320.2,7.5,21.83
2012,Royal Challengers Bangalore,1842,2505,81,15,307.0,8.16,22.74
2012,Sunrisers Hyderabad,1815,2405,78,15,302.5,7.95,23.27
2013,Chennai Super Kings,2110,2602,111,18,351.7,7.4,19.01
2013,Delhi Capitals,1891,2436,66,16,315.2,7.73,28.65
2013,Kolkata Knight Riders,1922,2316,88,16,320.3,7.23,21.84
2013,Mumbai Indians,2289,2832,117,19,381.5,7.42,19.56
2013,Pune Warriors,1924,2519,78,16,320.7,7.86,24.67
2013,Punjab Kings,1920,2417,77,16,320.0,7.55,24.94
2013,Rajasthan Royals,2181,2627,98,18,363.5,7.23,22.26
2013,Royal Challengers Bangalore,1875,2451,94,16,312.5,7.84,19.95
2013,Sunrisers Hyderabad,2040,2341,100,17,340.0,6.89,20.4
2014,Chennai Super Kings,1902,2577,90,16,317.0,8.13,21.13
2014,Delhi Capitals,1565,2184,51,14,260.8,8.37,30.69
2014,Kolkata Knight Riders,1944,2444,83,16,324.0,7.54,23.42
2014,Mumbai Indians,1811,2346,67,15,301.8,7.77,27.03
2014,Punjab Kings,2065,2794,104,17,344.2,8.12,19.86
2014,Rajasthan Royals,1667,2164,75,14,277.8,7.79,22.23
2014,Royal Challengers Bangalore,1677,2163,67,14,279.5,7.74,25.03
2014,Sunrisers Hyderabad,1657,2237,69,14,276.2,8.1,24.01
2015,Chennai Super Kings,2056,2601,104,17,342.7,7.59,19.77
2015,Delhi Capitals,1545,1978,72,14,257.5,7.68,21.46
2015,Kolkata Knight Riders,1545,2081,70,13,257.5,8.08,22.07
2015,Mumbai Indians,1964,2694,86,16,327.3,8.23,22.84
2015,Punjab Kings,1615,2286,65,14,269.2,8.49,24.85
2015,Rajasthan Royals,1733,2382,63,14,288.8,8.25,27.51
