match_id,season_id,match_date,city,venue,venue_region
335982,2008,2008-04-18,Bangalore,M Chinnaswamy Stadium,India
1082591,2017,2017-04-05,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1082592,2017,2017-04-06,Pune,Maharashtra Cricket Association Stadium,India
1082593,2017,2017-04-07,Rajkot,Saurashtra Cricket Association Stadium,India
1082594,2017,2017-04-08,Indore,Holkar Cricket Stadium,India
1082595,2017,2017-04-08,Bengaluru,M.Chinnaswamy Stadium,India
1082596,2017,2017-04-09,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1082597,2017,2017-04-09,Mumbai,Wankhede Stadium,India
1082598,2017,2017-04-10,Indore,Holkar Cricket Stadium,India
1082599,2017,2017-04-11,Pune,Maharashtra Cricket Association Stadium,India
1082600,2017,2017-04-12,Mumbai,Wankhede Stadium,India
1082601,2017,2017-04-13,Kolkata,Eden Gardens,India
1082602,2017,2017-04-14,Bangalore,M Chinnaswamy Stadium,India
1082603,2017,2017-04-14,Rajkot,Saurashtra Cricket Association Stadium,India
1082604,2017,2017-04-15,Kolkata,Eden Gardens,India
1082605,2017,2017-04-15,Delhi,Feroz Shah Kotla,India
1082606,2017,2017-04-16,Mumbai,Wankhede Stadium,India
1082607,2017,2017-04-16,Bangalore,M Chinnaswamy Stadium,India
1082608,2017,2017-04-17,Delhi,Feroz Shah Kotla,India
1082609,2017,2017-04-17,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1082610,2017,2017-04-18,Rajkot,Saurashtra Cricket Association Stadium,India
1082611,2017,2017-04-19,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1082612,2017,2017-04-20,Indore,Holkar Cricket Stadium,India
1082613,2017,2017-04-21,Kolkata,Eden Gardens,India
1082614,2017,2017-04-22,Mumbai,Wankhede Stadium,India
1082615,2017,2017-04-22,Pune,Maharashtra Cricket Association Stadium,India
1082616,2017,2017-04-23,Rajkot,Saurashtra Cricket Association Stadium,India
1082617,2017,2017-04-23,Kolkata,Eden Gardens,India
1082618,2017,2017-04-24,Mumbai,Wankhede Stadium,India
1082620,2017,2017-04-26,Pune,Maharashtra Cricket Association Stadium,India
1082621,2017,2017-04-27,Bangalore,M Chinnaswamy Stadium,India
1082622,2017,2017-04-28,Kolkata,Eden Gardens,India
1082623,2017,2017-04-28,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India
1082624,2017,2017-04-29,Pune,Maharashtra Cricket Association Stadium,India
1082625,2017,2017-04-29,Rajkot,Saurashtra Cricket Association Stadium,India
1082626,2017,2017-04-30,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India
1082627,2017,2017-04-30,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1082628,2017,2017-05-01,Mumbai,Wankhede Stadium,India
1082629,2017,2017-05-01,Pune,Maharashtra Cricket Association Stadium,India
1082630,2017,2017-05-02,Delhi,Feroz Shah Kotla,India
1082631,2017,2017-05-03,Kolkata,Eden Gardens,India
1082632,2017,2017-05-04,Delhi,Feroz Shah Kotla,India
1082633,2017,2017-05-05,Bangalore,M Chinnaswamy Stadium,India
1082634,2017,2017-05-06,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1082635,2017,2017-05-06,Delhi,Feroz Shah Kotla,India
1082636,2017,2017-05-07,Bangalore,M Chinnaswamy Stadium,India
1082637,2017,2017-05-07,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India
1082638,2017,2017-05-08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1082639,2017,2017-05-09,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India
1082640,2017,2017-05-10,Kanpur,Green Park,India
1082641,2017,2017-05-11,Mumbai,Wankhede Stadium,India
1082642,2017,2017-05-12,Delhi,Feroz Shah Kotla,India
1082643,2017,2017-05-13,Kanpur,Green Park,India
1082644,2017,2017-05-13,Kolkata,Eden Gardens,India
1082645,2017,2017-05-14,Pune,Maharashtra Cricket Association Stadium,India
1082646,2017,2017-05-14,Delhi,Feroz Shah Kotla,India
1082647,2017,2017-05-16,Mumbai,Wankhede Stadium,India
1082648,2017,2017-05-17,Bangalore,M Chinnaswamy Stadium,India
1082649,2017,2017-05-19,Bangalore,M Chinnaswamy Stadium,India
1082650,2017,2017-05-21,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India
1136561,2018,2018-04-07,Mumbai,Wankhede Stadium,India
1136562,2018,2018-04-08,Chandigarh,Punjab Cricket Association IS Bindra Stadium,India
1136563,2018,2018-04-08,Kolkata,Eden Gardens,India
1136564,2018,2018-04-09,Hyderabad,Rajiv Gandhi International Stadium,India
1136565,2018,2018-04-10,Chennai,MA Chidambaram Stadium,India
1136566,2018,2018-04-11,Jaipur,Sawai Mansingh Stadium,India
1136567,2018,2018-04-12,Hyderabad,Rajiv Gandhi International Stadium,India
1136568,2018,2018-04-13,Bengaluru,M.Chinnaswamy Stadium,India
1136569,2018,2018-04-14,Mumbai,Wankhede Stadium,India
1136570,2018,2018-04-14,Kolkata,Eden Gardens,India
1136571,2018,2018-04-15,Bengaluru,M.Chinnaswamy Stadium,India
1136572,2018,2018-04-15,Chandigarh,Punjab Cricket Association IS Bindra Stadium,India
1136573,2018,2018-04-16,Kolkata,Eden Gardens,India
1136574,2018,2018-04-17,Mumbai,Wankhede Stadium,India
1136575,2018,2018-04-18,Jaipur,Sawai Mansingh Stadium,India
1136576,2018,2018-04-19,Chandigarh,Punjab Cricket Association IS Bindra Stadium,India
1136577,2018,2018-04-20,Pune,Maharashtra Cricket Association Stadium,India
1136578,2018,2018-04-21,Kolkata,Eden Gardens,India
1136579,2018,2018-04-21,Bengaluru,M.Chinnaswamy Stadium,India
1136580,2018,2018-04-22,Hyderabad,Rajiv Gandhi International Stadium,India
1136581,2018,2018-04-22,Jaipur,Sawai Mansingh Stadium,India
