venue_raw,venue_clean
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"ACA-VDCA Cricket Stadium, Vizag"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","ACA-VDCA Cricket Stadium, Vizag"
Arun Jaitley Stadium,"Arun Jaitley Stadium, Delhi"
"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi"
Feroz Shah Kotla,"Arun Jaitley Stadium, Delhi"
Barabati Stadium,"Barabati Stadium, Cuttack"
"Barsapara Cricket Stadium, Guwahati","Barsapara Cricket Stadium, Guwahati"
Brabourne Stadium,"Brabourne Stadium, Mumbai"
"Brabourne Stadium, Mumbai","Brabourne Stadium, Mumbai"
Buffalo Park,"Buffalo Park, East London, SA"
De Beers Diamond Oval,"De Beers Diamond Oval, Kimberley, SA"
Dr DY Patil Sports Academy,"Dr DY Patil Sports Academy, NAVI Mumbai"
"Dr DY Patil Sports Academy, Mumbai","Dr DY Patil Sports Academy, NAVI Mumbai"
Dubai International Cricket Stadium,"Dubai International Cricket Stadium, UAE"
Eden Gardens,"Eden Gardens, Kolkata"
"Eden Gardens, Kolkata","Eden Gardens, Kolkata"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Ekana Cricket Stadium, Lucknow"
Green Park,"Green Park, Kanpur"
Holkar Cricket Stadium,"Holkar Cricket Stadium, Indore"
Himachal Pradesh Cricket Association Stadium,"HPCA Stadium, Dharamsala"
"Himachal Pradesh Cricket Association Stadium, Dharamsala","HPCA Stadium, Dharamsala"
Nehru Stadium,"Jawaharlal Nehru Stadium, Kochi"
JSCA International Stadium Complex,"JSCA International Stadium, Ranchi"
Kingsmead,"Kingsmead Cricket Ground, Durban"
M Chinnaswamy Stadium,"M Chinnaswamy Stadium, Bengaluru"
"M Chinnaswamy Stadium, Bengaluru","M Chinnaswamy Stadium, Bengaluru"
M.Chinnaswamy Stadium,"M Chinnaswamy Stadium, Bengaluru"
MA Chidambaram Stadium,"MA Chidambaram Stadium, Chepauk, Chennai"
"MA Chidambaram Stadium, Chepauk","MA Chidambaram Stadium, Chepauk, Chennai"
"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai"
Maharashtra Cricket Association Stadium,"MCA Stadium, Pune"
"Maharashtra Cricket Association Stadium, Pune","MCA Stadium, Pune"
Subrata Roy Sahara Stadium,"MCA Stadium, Pune"
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","MYS PCA Stadium, Mullanpur"
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","MYS PCA Stadium, Mullanpur"
"Narendra Modi Stadium, Ahmedabad","Narendra Modi Stadium, Ahmedabad"
"Sardar Patel Stadium, Motera","Narendra Modi Stadium, Ahmedabad"
Shaheed Veer Narayan Singh International Stadium,"Nava Raipur Stadium, New Raipur"
New Wanderers Stadium,"New Wanderers Stadium, Johannesburg, SA"
Newlands,"Newlands Cricket Stadium, Cape Town, SA"
OUTsurance Oval,"OUTsurance Oval, Bloemfontein, SA"
Punjab Cricket Association IS Bindra Stadium,"PCA Stadium, Mohali"
"Punjab Cricket Association IS Bindra Stadium, Mohali","PCA Stadium, Mohali"
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","PCA Stadium, Mohali"
"Punjab Cricket Association Stadium, Mohali","PCA Stadium, Mohali"
Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Uppal"
"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium, Uppal"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad","Rajiv Gandhi International Stadium, Uppal"
Sawai Mansingh Stadium,"Sawai Mansingh Stadium, Jaipur"
"Sawai Mansingh Stadium, Jaipur","Sawai Mansingh Stadium, Jaipur"
Saurashtra Cricket Association Stadium,"SCA Stadium, Rajkot"
Sharjah Cricket Stadium,"Sharjah Cricket Stadium, UAE"
Sheikh Zayed Stadium,"Sheikh Zayed Stadium, UAE"
St George's Park,"St George's Park, Gqeberha, SA"
SuperSport Park,"SuperSport Park, Centurion, SA"
"Vidarbha Cricket Association Stadium, Jamtha","VCA Stadium, Nagpur"
Wankhede Stadium,"Wankhede Stadium, Mumbai"
"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai"
"Zayed Cricket Stadium, Abu Dhabi","Zayed Cricket Stadium, Abu Dhabi"
